N	3gram	Voloshinov_2	RusskieA
1	в том что	6	15
2	в этом случае	1	5
3	как мы увидим	1	5
4	и в других	1	4
5	в связи с	7	4
6	о том что	3	4
7	к тому что	3	4
8	с точки зрения	13	3
9	а иногда и	2	3
10	тем не менее	1	3
11	что иное как	1	2
12	не только по	1	2
13	и связанные с	1	2
14	может быть и	5	2
15	в равной степени	1	2
16	но тем не	1	2
17	в свою очередь	5	2
18	но все же	1	2
19	в большинстве случаев	5	2
20	не что иное	1	2
21	прямо и непосредственно	1	1
22	а следовательно и	1	1
23	из всего этого	1	1
24	и того же	4	1
25	в противном случае	2	1
26	они состоят из	1	1
27	по отношению к	8	1
28	на самом деле	4	1
29	не совсем так	1	1
30	приводит его к	1	1
31	точки зрения в	1	1
32	том что это	1	1
33	только по отношению	1	1
34	что именно эти	1	1
35	в этот поток	1	1
36	тому что в	1	1
37	в таком случае	3	1
38	далеко не так	1	1
39	связанные с этим	1	1
40	на самом же	3	1
41	в этом отношении	1	1
42	независимо от того	1	1
43	а в связи	1	1
44	в собственном смысле	2	1
45	которые приводят к	1	1
46	у него нет	1	1
47	не только в	1	1
48	от него он	1	1
49	в отличие от	3	1
50	во всех этих	1	1
51	самом деле как	1	1
52	приводит к тому	1	1
53	во всяком случае	2	1
54	и в том	1	1
55	самом же деле	3	1
56	и пр и	4	1
57	это не совсем	1	1
58	мы уже знаем	2	1
59	в русском языке	4	1
60	такое уподобление является	1	1
61	с тем что	1	1
62	ни одна из	1	1
63	можно сказать что	1	1
64	или может быть	2	1
65	на то что	2	1
66	одного и того	4	1
67	как мы уже	3	1
68	друг с другом	1	1
69	быть не может	1	1
70	так и из	1	1
71	как и в	1	1
72	же деле это	1	1
73	привела к тому	2	1
74	слово для обозначения	1	1
75	как мы знаем	1	1
76	как мы видели	3	1
77	этого слова в	1	1
