N	2gram	Nazirov_Tv_1	Formalny
1	и в	21	38
2	в этом	6	27
3	т е	1	26
4	может быть	5	23
5	и его	6	21
6	таким образом	5	20
7	и не	7	20
8	в самом	3	16
9	не в	2	15
10	прежде всего	4	15
11	и т	3	14
12	не может	4	14
13	в нем	3	13
14	связи с	1	13
15	но и	3	13
16	с его	11	11
17	с тем	1	11
18	в том	7	11
19	вовсе не	5	11
20	в его	13	10
21	в связи	1	10
22	с помощью	1	10
23	не только	7	9
24	при этом	7	9
25	и с	3	9
26	как и	12	9
27	т п	2	9
28	в процессе	1	9
29	самом деле	2	8
30	отнюдь не	5	8
31	все же	5	8
32	так и	2	8
33	что и	2	8
34	тем что	1	8
35	в первом	2	7
36	по себе	1	7
37	для него	6	7
38	в своей	4	7
39	уже не	3	7
40	в других	1	7
41	не могут	1	7
42	слова и	1	7
43	что в	12	7
44	и ее	1	6
45	в ней	2	6
46	в истории	1	6
47	все эти	1	6
48	в этой	5	6
49	то же	13	6
50	было бы	1	6
51	он не	8	6
52	в их	3	6
53	могут быть	2	6
54	все время	1	6
55	только в	5	6
56	то что	8	6
57	не было	1	6
58	вместе с	2	6
59	а не	5	6
60	как раз	1	6
61	хотя бы	5	6
62	а в	6	6
63	это и	3	5
64	по преимуществу	2	5
65	говорить о	1	5
66	всего этого	1	5
67	во всех	1	5
68	т д	1	5
69	в то	15	5
70	в основе	2	5
71	же время	12	5
72	и должно	1	5
73	что он	6	5
74	если мы	1	5
75	именно в	2	5
76	с этим	1	5
77	что же	1	5
78	еще более	2	5
79	в сущности	1	4
80	одним словом	1	4
81	что оно	1	4
82	как в	8	4
83	и наконец	2	4
84	и к	1	4
85	в статье	1	4
86	не столько	2	4
87	к тому	2	4
88	в дальнейшем	3	4
89	но в	7	4
90	чем он	1	4
91	что не	2	4
92	из них	2	4
93	так как	3	4
94	даже и	1	4
95	и даже	3	4
96	другой стороны	1	4
97	как бы	17	4
98	оно не	1	4
99	к этому	2	4
100	же как	1	3
101	и до	1	3
102	а как	2	3
103	то это	1	3
104	и на	7	3
105	в сюжете	1	3
106	если в	2	3
107	как к	2	3
108	хотя и	3	3
109	и как	4	3
110	что это	1	3
111	в целом	4	3
112	роль в	1	3
113	только на	2	3
114	так сказать	2	3
115	всех этих	1	3
116	его в	1	3
117	это было	1	3
118	для них	1	3
119	он и	1	3
120	такой же	2	3
121	к предмету	1	3
122	место в	3	3
123	в области	1	3
124	но все	1	3
125	не есть	1	3
126	так в	1	3
127	особенно в	1	3
128	и здесь	1	3
129	одного из	2	3
130	к нему	1	3
131	того что	3	3
132	в какой	1	3
133	то и	1	3
134	мы знаем	1	3
135	и их	1	3
136	с другой	3	3
137	а наоборот	1	3
138	не то	2	3
139	без всякой	1	3
140	о возможности	1	3
141	все это	10	3
142	на самом	3	3
143	или в	2	3
144	и все	6	3
145	была бы	1	3
146	о литературе	1	3
147	жизни и	3	3
148	вряд ли	2	2
149	этом пункте	1	2
150	был и	1	2
151	было и	1	2
152	его не	1	2
153	это время	2	2
154	он был	1	2
155	столь же	1	2
156	совсем не	1	2
157	но не	3	2
158	отличие от	2	2
159	к сожалению	1	2
160	в одной	2	2
161	для создания	1	2
162	в художественном	1	2
163	такое представление	1	2
164	перед нами	2	2
165	кроме того	1	2
166	то в	2	2
167	со своей	1	2
168	та же	4	2
169	в которой	3	2
170	уже в	3	2
171	он в	1	2
172	своем развитии	1	2
173	же это	1	2
174	не к	1	2
175	и более	1	2
176	в плане	1	2
177	и по	3	2
178	на этом	1	2
179	в основу	1	2
180	то ни	1	2
181	должен был	1	2
182	и тем	2	2
183	ни в	1	2
184	от него	1	2
185	нигде не	1	2
186	том что	11	2
187	на первый	1	2
188	в этих	2	2
189	не так	3	2
190	во второй	2	2
191	представление о	3	2
192	себе а	1	2
193	в отличие	2	2
194	для этого	1	2
195	даже в	3	2
196	тому что	1	2
197	она не	1	2
198	тем самым	7	2
199	что эта	1	2
200	и другое	1	2
201	самого начала	3	2
202	не имеет	1	2
203	ее с	1	2
204	не по	3	2
205	все без	1	2
206	для всего	1	2
207	никогда не	3	2
208	слово и	1	2
209	как она	1	2
210	есть только	1	2
211	что на	1	2
212	если же	1	2
213	и это	1	2
214	и о	1	2
215	в ее	1	2
216	в в	2	2
217	и от	4	2
218	с самого	3	2
219	приводит к	2	2
220	и пространство	1	2
221	времени и	4	2
222	было в	2	2
223	русского литературного	1	2
224	в эпоху	1	2
225	с ним	3	2
226	в виду	2	2
227	между тем	1	2
228	отметить что	1	2
229	во всей	2	2
230	это не	4	2
231	один из	4	2
232	с ними	1	2
233	этот вопрос	1	2
234	по этому	1	2
235	не будет	2	2
236	потому что	5	2
237	в качестве	2	2
238	же и	2	2
239	в школе	1	2
240	при помощи	2	2
241	и других	3	2
242	в котором	6	2
243	сами по	1	2
244	в конце	1	2
245	язык в	1	2
246	что для	2	2
247	превращается в	1	2
248	до конца	2	2
249	есть лишь	1	2
250	конце концов	1	2
251	его как	2	2
252	все более	2	2
253	ни на	3	2
254	к его	1	2
255	как это	1	2
256	подхода к	3	2
257	установкой на	1	2
258	центр тяжести	1	2
259	художественное произведение	1	2
260	но это	5	2
261	в чем	2	2
262	основе этой	1	2
263	ее и	2	2
264	в целях	1	2
265	сказать что	2	2
266	от всех	1	2
267	равно как	1	2
268	литературы с	1	2
269	ее в	3	2
270	в искусстве	1	2
271	и другие	3	2
272	именно здесь	1	2
273	в таком	1	2
274	это неверно	1	1
275	говорили уже	1	1
276	литературы а	1	1
277	они представляют	1	1
278	как известно	1	1
279	от этой	1	1
280	совершенно справедливо	1	1
281	и через	1	1
282	связана с	1	1
283	с исторической	1	1
284	того же	2	1
285	к своей	1	1
286	но тем	1	1
287	на деле	2	1
288	нам кажется	1	1
289	мировоззрения и	2	1
290	оно было	1	1
291	и этот	1	1
292	той же	3	1
293	их и	1	1
294	всей ее	1	1
295	есть не	2	1
296	мы имеем	1	1
297	надо было	2	1
298	что если	1	1
299	по-разному в	1	1
300	на эти	2	1
301	но она	2	1
302	что иное	1	1
303	не вполне	1	1
304	но даже	1	1
305	становится объектом	1	1
306	и со	1	1
307	себе что	1	1
