N	4gram	Ircho_Kome_3	Myshleni
1	в то время как	2	4
2	но вместе с тем	1	4
3	для того чтобы показать	1	2
4	с одной стороны и	1	1
5	и в силу этого	1	1
6	одного из современных авторов	1	1
7	быть с полным основанием	1	1
8	само собой разумеется что	2	1
9	и в то же	1	1
10	вдвое по сравнению с	1	1
11	в том числе и	1	1
12	с этой точки зрения	1	1
13	потому что он не	1	1
14	в то же время	4	1
15	мы можем заключить что	1	1
16	состоит в том чтобы	1	1
17	она стремится не к	1	1
18	основных линий в развитии	1	1
19	по сравнению с тем	1	1
20	только для того чтобы	2	1
21	таким же образом как	1	1
