N	3gram	Trubetskoy_1	Problema
1	тем не менее	1	10
2	в том что	7	9
3	сама по себе	2	8
4	той или иной	3	8
5	то же самое	1	7
6	и то что	3	7
7	в связи с	1	7
8	в данном случае	3	7
9	во всяком случае	6	6
10	и в этом	1	6
11	в этом случае	3	5
12	по крайней мере	1	5
13	не может быть	4	5
14	но даже и	1	4
15	бы то ни	4	4
16	в то же	10	4
17	также и то	1	4
18	тех или иных	1	4
19	дело в том	1	3
20	того или иного	2	3
21	можно было бы	3	3
22	точно так же	2	3
23	то ни было	1	3
24	в конце концов	3	3
25	заключается в том	1	3
26	о том что	2	3
27	что он есть	1	2
28	в том виде	1	2
29	том виде как	1	2
30	в настоящее время	2	2
31	с точки зрения	9	2
32	до сих пор	5	2
33	том что вся	1	2
34	для которой она	1	2
35	что вся эта	1	2
36	отнюдь не является	1	2
37	вот это и	1	2
38	и в частности	1	2
39	ни к какому	1	2
40	на первый взгляд	1	2
41	и как бы	1	2
42	потому что они	1	2
43	только то что	1	2
44	даже и в	1	2
45	на самом деле	6	2
46	и тем самым	2	2
47	друг от друга	2	2
48	и только в	1	2
49	и того же	1	1
50	отнюдь не всякий	1	1
51	из всего этого	1	1
52	само собой разумеется	1	1
53	то ни стало	3	1
54	более или менее	4	1
55	во что бы	3	1
56	в том и	2	1
57	является не только	1	1
58	и не только	1	1
59	и то и	1	1
60	говорить о том	1	1
61	и не к	1	1
62	только для того	1	1
63	что он не	2	1
64	но и к	2	1
65	потому что и	1	1
66	того и другого	1	1
67	то естественно что	1	1
68	что не только	1	1
69	нас и не	1	1
70	перед нами не	1	1
71	на этот вопрос	1	1
72	не просто в	1	1
73	жизни и деятельности	2	1
74	то и другое	1	1
75	есть то что	1	1
76	не есть только	1	1
77	что оно есть	1	1
78	и в своем	1	1
79	что бы то	3	1
80	в том чтобы	1	1
81	сих пор мы	1	1
82	тем что он	1	1
83	к вопросу о	3	1
84	которых идет речь	1	1
85	тот факт что	2	1
86	смысле этого слова	1	1
87	только в виде	1	1
88	но при этом	1	1
89	не могут не	2	1
90	того что не	1	1
91	во всех этих	1	1
92	всяком случае не	1	1
93	указывает на то	1	1
94	мы говорили выше	1	1
95	друг к другу	1	1
96	так же и	1	1
97	так же как	1	1
98	и во всяком	2	1
99	и все же	1	1
100	собой разумеется что	1	1
101	от того что	1	1
102	это и есть	1	1
103	содержат в себе	1	1
104	и не исключает	1	1
105	то это есть	1	1
106	как бы ни	1	1
107	в самом деле	1	1
108	язык да и	1	1
109	речь идет о	1	1
110	только в том	2	1
111	на то что	4	1
112	одного и того	1	1
113	именно так как	1	1
114	являются не просто	1	1
115	и во всем	1	1
116	к тому что	2	1
117	в результате этого	1	1
118	для того чтобы	6	1
119	жизни и тем	1	1
120	заключается не в	1	1
121	нечего и говорить	1	1
122	не было а	1	1
123	к тому же	1	1
124	себе представить как	1	1
125	точки зрения в	1	1
126	и вопрос о	1	1
