N	2gram	Potebnia_M_1	Vladivir
1	и в	39	40
2	то что	10	28
3	и не	18	25
4	не только	21	25
5	у него	1	24
6	то есть	42	24
7	в том	26	18
8	но и	20	18
9	еще и	1	18
10	том что	16	18
11	что в	22	17
12	в этом	15	16
13	не может	22	14
14	так что	16	14
15	в его	5	14
16	вовсе не	5	13
17	точки зрения	8	13
18	в виде	1	13
19	только в	25	13
20	даже и	2	12
21	сказать что	3	12
22	таким образом	13	11
23	потому что	52	11
24	никогда не	4	11
25	о том	2	11
26	едва ли	1	11
27	и его	5	10
28	ни в	1	10
29	и потому	5	10
30	тем не	6	10
31	прежде всего	4	10
32	то это	5	10
33	не есть	10	10
34	в себе	13	9
35	и с	3	9
36	не менее	6	9
37	что это	3	9
38	в своей	3	9
39	что же	2	9
40	уже не	2	9
41	и то	3	9
42	есть только	11	9
43	для него	4	8
44	может быть	27	8
45	как мы	2	8
46	так же	5	8
47	в этой	3	8
48	и что	10	8
49	он не	3	8
50	а не	21	8
51	в своем	3	8
52	как и	9	7
53	а только	4	7
54	там же	9	7
55	с тем	5	7
56	а в	5	7
57	в то	4	7
58	вместе с	8	7
59	к тому	4	7
60	хотя и	3	7
61	же с	7	7
62	мы бы	1	7
63	того что	8	7
64	что и	6	7
65	и если	2	7
66	несмотря на	5	7
67	в своих	4	7
68	что все	3	7
69	так как	21	7
70	и как	6	7
71	это значит	1	6
72	не будет	2	6
73	так и	13	6
74	в смысле	4	6
75	по себе	10	6
76	то в	5	6
77	если не	2	6
78	не мог	3	6
79	и даже	4	6
80	в боге	1	6
81	с точки	3	6
82	хотя бы	2	6
83	и от	3	6
84	во всем	4	6
85	да и	1	6
86	и на	1	6
87	значит что	1	6
88	и это	3	6
89	но это	5	6
90	все эти	1	5
91	для нас	9	5
92	не говорит	1	5
93	для себя	3	5
94	ничего общего	2	5
95	между прочим	2	5
96	в одном	8	5
97	у нас	2	5
98	дело в	2	5
99	отношения к	1	5
100	но если	2	5
101	в отношении	1	5
102	в истории	7	5
103	должно быть	7	5
104	ничего не	1	5
105	тем что	9	5
106	или менее	1	5
107	более или	1	5
108	можно считать	1	5
109	тоже не	1	5
110	с другой	7	5
111	в ней	7	5
112	что он	1	5
113	только на	3	5
114	можно было	1	5
115	еще в	1	5
116	в данном	1	5
117	не было	4	5
118	еще не	6	4
119	вопрос о	4	4
120	утверждает что	2	4
121	только при	2	4
122	и все	3	4
123	на то	2	4
124	то он	2	4
125	даже в	1	4
126	все же	6	4
127	но не	8	4
128	не с	1	4
129	не имеет	5	4
130	если мы	3	4
131	мог бы	2	4
132	что если	3	4
133	мы должны	3	4
134	в течение	2	4
135	и о	2	4
136	такого рода	1	4
137	то же	6	4
138	по мнению	3	4
139	в котором	1	4
