N	3gram	Losev_Prob_1	slovoVRo
1	и т п	1	33
2	не может быть	2	15
3	в этом случае	2	6
4	той или иной	4	5
5	в том что	5	4
6	в то же	4	4
7	но в то	1	3
8	так и в	1	3
9	в этом отношении	1	3
10	сама по себе	4	3
11	с точки зрения	3	3
12	а также и	2	2
13	как мы сказали	1	2
14	во всяком случае	3	2
15	никогда не может	2	2
16	может быть и	3	2
17	для того чтобы	8	2
18	до сих пор	3	2
19	и т д	10	2
20	как мы уже	1	2
21	не только в	1	2
22	более или менее	3	2
23	требует от нас	1	2
24	не могут быть	1	2
25	в связи с	4	2
26	так и для	2	2
27	а вовсе не	1	2
28	в чем же	1	1
29	не для того	1	1
30	то есть чисто	1	1
31	мы можем сказать	1	1
32	о том что	5	1
33	xix и начала	2	1
34	и как мы	1	1
35	тем и другим	2	1
36	перед нами не	1	1
37	таким образом на	1	1
38	ведь если нет	1	1
39	и начала xx	2	1
40	а следовательно и	1	1
41	и в то	1	1
42	обязательно должно быть	1	1
43	мы еще не	1	1
44	как и в	1	1
45	вовсе не обязательно	2	1
46	не только не	3	1
47	свой смысл и	1	1
48	всех этих случаях	1	1
49	хотя и не	2	1
50	с другой стороны	3	1
51	мы уже сказали	1	1
52	иметь в виду	3	1
53	на первый план	1	1
54	мы смотрим на	1	1
55	о нем и	1	1
56	чем перейти к	2	1
57	в другом случае	1	1
58	в его целом	1	1
59	однако и здесь	2	1
60	конечно далеко не	1	1
61	но и этого	1	1
62	здесь не только	2	1
63	все это не	1	1
64	прежде чем перейти	2	1
65	есть не только	1	1
66	может и не	1	1
67	в себе все	2	1
68	до известной степени	1	1
69	как мы видели	1	1
70	имеет дело со	1	1
71	начала xx века	2	1
72	чтобы оно не	1	1
73	и может быть	1	1
74	художественном образе его	1	1
75	на то что	8	1
76	это не значит	1	1
77	таким образом в	1	1
78	всех этих актов	1	1
79	вообще и не	1	1
80	для этой цели	1	1
81	сами по себе	3	1
82	хотя и в	1	1
83	в этих случаях	2	1
84	которых мы говорили	1	1
85	о которых мы	2	1
86	даже и не	2	1
87	и притом в	1	1
88	мы не знаем	1	1
89	к нему и	1	1
90	тех или иных	2	1
91	также и в	1	1
92	а не в	1	1
93	а не только	2	1
94	поэтому и в	1	1
95	во всех этих	2	1
96	тем не менее	18	1
97	художественный образ так	1	1
98	необходимо иметь в	1	1
99	поэтому прежде чем	1	1
100	и в них	1	1
101	того или иного	2	1
