N	3gram	Vinokur_St_2	VeschiIm
1	и т д	6	20
2	бы то ни	2	9
3	то ни было	2	9
4	т е в	1	7
5	в том что	16	6
6	на то что	2	6
7	в чем же	1	5
8	одно и то	1	5
9	и то же	1	5
10	в свою очередь	1	5
11	тем не менее	2	5
12	т е не	1	4
13	с точки зрения	2	4
14	то же время	1	4
15	в то же	1	4
16	более или менее	2	3
17	в самом деле	2	3
18	сам по себе	1	3
19	вместе с тем	5	3
20	есть нечто совершенно	1	2
21	дело в том	4	2
22	как бы ни	1	2
23	если оно не	1	2
24	ни о каком	1	2
25	в данном случае	1	2
26	того что именно	1	2
27	что в ней	1	2
28	не только к	1	2
29	вы говорите что	1	2
30	заключается в том	1	2
31	к тому что	5	2
32	так что в	1	2
33	так или иначе	1	2
34	и тому же	1	1
35	но как раз	1	1
36	того что и	1	1
37	только потому что	2	1
38	и пр но	1	1
39	между прочим и	1	1
40	в этом смысле	1	1
41	не годится в	1	1
42	при таких условиях	1	1
43	том что он	5	1
44	в этом случае	1	1
45	до сих пор	5	1
46	в зависимости от	1	1
47	сами по себе	2	1
48	в той же	1	1
49	что он не	4	1
50	не то что	1	1
51	точка зрения на	1	1
52	не имеет никакого	1	1
53	них и что	1	1
54	как раз в	2	1
55	чтобы утверждать что	1	1
56	так же как	3	1
57	в том чтобы	1	1
58	я не стану	1	1
59	ответ на вопрос	1	1
60	в конце концов	1	1
61	какие бы то	1	1
62	в определенном направлении	1	1
63	каких бы то	1	1
64	и в этом	2	1
65	не в том	2	1
66	не входя в	1	1
67	с другой стороны	3	1
68	потому что они	1	1
69	речь идет о	3	1
70	на вопрос о	1	1
71	относится не только	1	1
72	ни в каком	1	1
73	во всяком случае	3	1
74	но также и	1	1
75	том смысле что	1	1
76	в то время	1	1
77	оба эти принципа	1	1
78	и вместе с	1	1
79	на этом основании	1	1
80	прежде всего к	1	1
81	о том что	11	1
82	не только не	2	1
83	вопрос о том	3	1
84	вместо того чтобы	1	1
85	но все же	2	1
86	и в результате	1	1
87	нужно сказать что	1	1
88	бы в этом	1	1
89	для того чтобы	5	1
90	самого себя и	1	1
91	в том смысле	2	1
92	и что он	1	1
93	в отношении к	1	1
94	я должен был	1	1
95	одному и тому	1	1
