N	3gram	Losev_Vesc_1	RusskieA
1	в том что	4	18
2	в данном случае	2	6
3	для того чтобы	2	6
4	т е в	7	5
5	и т д	19	5
6	вместе с тем	1	4
7	так же как	1	4
8	о том что	4	4
9	мы видели что	1	4
10	не может быть	6	3
11	подобно тому как	4	3
12	только тогда когда	2	3
13	тем не менее	3	2
14	что иное как	7	2
15	на самом же	1	2
16	может быть только	3	2
17	не что иное	7	2
18	в том чтобы	1	2
19	самом же деле	1	2
20	мы не можем	1	2
21	в то время	1	2
22	решить вопрос о	1	2
23	с одной стороны	3	2
24	для него не	1	1
25	не может не	1	1
26	но так как	1	1
27	более или менее	1	1
28	е в данном	1	1
29	так что в	3	1
30	т е не	2	1
31	одна из основных	1	1
32	того или другого	1	1
33	о том как	1	1
34	и оно же	1	1
35	того чтобы обеспечить	1	1
36	и то и	1	1
37	а так как	2	1
38	в этом отношении	1	1
39	из того что	2	1
40	можно было бы	1	1
41	у нас это	1	1
42	в применении к	1	1
43	во всяком случае	2	1
44	быть потому что	1	1
45	те или другие	4	1
46	остановиться несколько подробнее	1	1
47	то время как	1	1
48	дело в том	2	1
49	с другой стороны	2	1
50	все то что	1	1
51	быть не только	2	1
52	нужно было бы	1	1
53	т д а	1	1
54	в свою очередь	4	1
55	это выражение в	1	1
56	можно сказать что	3	1
57	на то что	2	1
58	вопрос о том	1	1
59	живой человек на	1	1
60	это и есть	1	1
