N	2gram	Berdyaev_O_1	FransuaR
1	и в	19	65
2	как бы	3	22
3	и не	13	22
4	вовсе не	1	18
5	в сущности	1	16
6	в том	5	16
7	в этом	12	15
8	но в	2	14
9	в нем	10	13
10	и на	2	11
11	прежде всего	9	11
12	все эти	4	10
13	не только	11	10
14	и его	4	10
15	так и	2	10
16	но и	13	10
17	и потому	2	10
18	в эпоху	1	9
19	в его	7	9
20	все это	6	9
21	в своем	2	8
22	и даже	1	8
23	его в	2	7
24	жизни и	1	7
25	на самом	1	6
26	в ней	1	6
27	еще не	3	6
28	все же	2	6
29	том что	2	6
30	в отношении	1	6
31	никогда не	9	6
32	одно из	2	6
33	так как	2	6
34	может быть	11	6
35	сказать что	2	6
36	связана с	1	5
37	с его	4	5
38	как в	1	5
39	с их	1	5
40	в них	1	5
41	как и	6	5
42	в своей	2	5
43	потому что	9	5
44	для него	5	5
45	в одном	1	5
46	и пр	1	5
47	связь с	1	5
48	в частности	1	5
49	и все	10	5
50	еще более	1	5
51	в своих	3	5
52	жизни в	2	5
53	и до	1	4
54	и к	2	4
55	в самом	5	4
56	в этой	5	4
57	мысли и	3	4
58	не в	11	4
59	начало в	1	4
60	в жизни	1	4
61	из них	1	4
62	отношение к	5	4
63	совершенно не	1	4
64	в обычном	1	3
65	самом деле	1	3
66	жизни как	1	3
67	уже не	1	3
68	то что	5	3
69	в себе	3	3
70	и с	2	3
71	и других	1	3
72	это не	3	3
73	в ее	2	3
74	он и	1	3
75	мир и	1	3
76	но это	1	3
77	самой жизни	1	3
78	ничего не	2	3
79	по своей	1	3
80	этом отношении	1	3
81	и здесь	1	3
82	не могут	3	3
83	и прежде	1	3
84	всегда в	1	3
85	в виду	1	3
86	с ним	3	3
87	о нем	1	3
88	в самой	9	3
89	к нему	3	3
90	в форме	1	3
91	что он	3	3
92	мир в	1	3
93	в других	2	3
94	даже и	2	3
95	связан с	1	3
96	эпоху возрождения	1	3
97	и эта	1	3
98	мира в	1	3
99	нет ничего	7	3
100	нужно отметить	1	3
101	и ни	2	3
102	от всех	1	3
103	не может	4	3
104	что в	4	3
105	отношения к	1	2
106	например в	1	2
107	видеть в	1	2
108	из всех	1	2
109	не вполне	1	2
110	бы ни	1	2
111	и он	8	2
112	в народном	1	2
113	он был	8	2
114	но не	1	2
115	человеческих отношений	4	2
116	он не	7	2
117	природной и	1	2
118	они в	1	2
119	и вот	3	2
120	это было	3	2
121	в свой	1	2
122	истории и	1	2
123	всегда и	1	2
124	в этих	3	2
125	и без	1	2
126	и очень	2	2
127	а иногда	1	2
128	дело в	1	2
129	в процессе	1	2
130	строя жизни	1	2
131	во всем	1	2
132	отрицает и	1	2
133	в мир	1	2
134	начиная с	1	2
135	могут быть	3	2
136	и это	1	2
137	и этим	2	2
138	гуманизм и	1	2
139	особенно в	1	2
140	но у	1	2
141	связанная с	1	2
142	о том	3	2
143	отметить что	1	2
144	ни с	7	2
145	от того	1	2
146	и человека	1	2
147	что не	4	2
148	всего мира	1	2
149	на этот	1	2
150	до конца	7	2
151	и самый	1	2
152	возрождения но	1	2
153	да и	1	2
154	в это	1	2
155	того что	3	2
156	и для	2	2
157	и от	3	2
158	которого они	1	2
159	хотя и	2	2
160	от него	7	2
161	интерес к	1	2
162	ни к	1	2
163	мира он	1	2
164	речи и	1	2
165	в свое	1	2
166	народ в	1	1
167	человека и	10	1
168	все его	1	1
169	между двумя	1	1
170	из самых	1	1
171	нем нет	3	1
172	уже указывали	1	1
173	и больше	1	1
174	не умирает	1	1
175	мы не	1	1
176	и раньше	1	1
177	нем все	1	1
178	обратный свет	1	1
179	во внешнем	1	1
180	всего высокого	1	1
181	человека с	1	1
182	человеку и	5	1
183	и чем	1	1
184	курсив мой	4	1
185	как к	2	1
186	сознания в	1	1
187	и как	1	1
188	самом начале	1	1
189	силе и	1	1
190	от этого	1	1
191	в этот	2	1
192	плоти и	1	1
193	поэтому он	1	1
194	в которой	2	1
195	самой природе	1	1
196	он в	2	1
197	ослаблена и	1	1
198	и вечной	1	1
199	на то	1	1
200	он всегда	7	1
201	сказать в	1	1
202	главное в	1	1
203	о которой	2	1
204	для того	3	1
205	же это	2	1
206	и более	1	1
207	и сам	1	1
208	не могли	2	1
209	из него	1	1
210	и вечно	1	1
211	людей и	1	1
212	свое положительное	1	1
213	это конечно	1	1
214	человеку но	1	1
215	в совершенно	1	1
216	самим собой	1	1
217	где оно	1	1
218	лишь в	7	1
219	которым все	1	1
220	было бы	3	1
221	лишь на	1	1
222	смерть и	1	1
223	в бытовом	1	1
224	жила в	1	1
225	его было	1	1
226	он знает	1	1
227	посвящения в	1	1
228	был бы	1	1
229	гюго диккенса	1	1
