N	2gram	Propp_Morf_1	VeschiIm
1	не есть	1	49
2	т е	21	42
3	не может	14	33
4	не только	4	31
5	может быть	52	29
6	и не	12	28
7	и в	13	26
8	то что	8	24
9	и есть	2	23
10	значит что	3	22
11	это значит	1	22
12	и т	41	21
13	т д	39	20
14	а не	11	20
15	что она	2	14
16	только в	2	14
17	и что	2	13
18	того что	3	13
19	и то	1	12
20	все же	7	12
21	что это	1	12
22	было бы	3	12
23	и ее	3	12
24	но и	4	12
25	сказать что	2	12
26	а и	3	11
27	таким образом	21	11
28	что же	2	11
29	то же	7	10
30	есть нечто	3	10
31	не значит	2	10
32	как бы	3	10
33	что такое	3	10
34	потому что	3	10
35	уже не	2	10
36	что мы	2	10
37	бы то	3	9
38	то ни	3	9
39	и с	1	9
40	в том	6	9
41	что не	1	9
42	еще и	1	9
43	прежде всего	9	9
44	ни было	2	9
45	с ее	1	8
46	в себе	1	8
47	на то	2	8
48	ничего не	4	8
49	себя и	2	8
50	она есть	1	8
51	но это	6	8
52	также и	4	7
53	говорить о	3	7
54	если она	2	7
55	в этом	14	7
56	не будет	1	7
57	его в	2	7
58	с другими	1	7
59	том что	4	7
60	в то	3	7
61	как с	1	7
62	д и	1	7
63	себя в	1	7
64	и их	2	7
65	так как	16	7
66	как раз	1	7
67	и пр	37	7
68	совершенно не	1	7
69	есть и	4	7
70	со стороны	3	6
71	что они	2	6
72	и как	5	6
73	но в	2	6
74	одно и	1	6
75	точки зрения	2	6
76	но если	7	6
77	ее не	1	6
78	она не	2	6
79	оно есть	1	6
80	можно было	2	6
81	ясно что	5	6
82	должно быть	1	6
83	а если	4	6
84	так что	1	6
85	если мы	5	6
86	для него	1	6
87	то не	1	6
88	когда мы	1	6
89	в результате	7	6
90	что в	8	6
91	это и	2	5
92	и до	1	5
93	ведь и	1	5
94	в сущности	3	5
95	в чем	1	5
96	но не	4	5
97	чем же	1	5
98	должна быть	1	5
99	вообще не	1	5
100	это не	6	5
101	с тем	2	5
102	а есть	1	5
103	не в	3	5
104	тем не	5	5
105	есть всегда	1	5
106	не менее	5	5
107	одна из	4	5
108	только и	1	5
109	у нас	2	5
110	должны быть	1	5
111	если бы	2	5
112	еще не	3	5
113	или не	3	5
114	она имеет	1	5
115	с этой	1	5
116	и для	2	5
117	а в	7	5
118	явления и	1	4
119	собственном смысле	3	4
120	мы не	8	4
121	так чтобы	1	4
122	то это	3	4
123	во всех	4	4
124	как таковая	2	4
125	независимо от	3	4
126	с этим	11	4
127	же не	1	4
128	как и	3	4
129	между собою	2	4
130	с точки	2	4
131	и более	1	4
132	можно ли	1	4
133	о том	2	4
134	с другой	8	4
135	что и	7	4
136	быть и	2	4
137	этот вопрос	2	4
138	е не	1	4
139	из них	3	4
140	так то	1	4
141	тем что	4	4
142	и даже	1	4
143	даже не	3	4
144	как же	2	4
145	в данном	1	4
146	в отдельности	1	4
147	быть не	1	4
148	не существует	3	4
149	и все	1	4
150	собственно говоря	1	4
151	от того	3	4
