N	3gram	Medvedev_F_1	Sotsiolo
1	и заключается что	1	2
2	в том что	1	2
3	по отношению к	4	2
4	методом по существу	1	1
5	психологию эстетику и	1	1
6	звук слово образ	1	1
7	слово образ ритм	1	1
8	хотя бы о	1	1
9	научной мысли в	1	1
10	какие выработала теоретическая	1	1
11	предварительно изучается имманентно	1	1
12	историка литературы и	1	1
13	один из путей	1	1
14	помощью тех методов	1	1
15	в настоящее время	10	1
16	целом все это	1	1
17	в каждом своем	1	1
18	на психологию эстетику	1	1
19	образ ритм композиция	1	1
20	теоретическая поэтика опираясь	1	1
21	стиль в целом	1	1
22	она должна стать	1	1
23	диалектического материализма для	1	1
24	в том и	1	1
25	в частности практикуются	1	1
26	художественный стиль в	1	1
27	и в этом	2	1
28	существу это наиболее	1	1
29	называемым формальным методом	1	1
30	не может не	1	1
31	поэтической формы звук	1	1
32	ныне так называемым	1	1
33	это предварительно изучается	1	1
34	должно было бы	1	1
35	формы звук слово	1	1
36	именно в том	1	1
37	сама по себе	2	1
38	тем более не	1	1
39	эстетику и лингвистику	1	1
40	часть нашей работы	1	1
41	методов какие выработала	1	1
42	с помощью тех	1	1
43	ритм композиция жанр	1	1
44	тех методов какие	1	1
45	практикуются ныне так	1	1
46	друг от друга	2	1
47	имманентно с помощью	1	1
48	в то же	8	1
49	выработала теоретическая поэтика	1	1
50	композиция жанр поэтическая	1	1
51	лингвистику и какие	1	1
52	жанр поэтическая тематика	1	1
53	по существу это	1	1
54	выходит за пределы	1	1
55	все это предварительно	1	1
56	формальным методом по	1	1
57	в целом все	1	1
58	поэтическая тематика художественный	1	1
59	элементы поэтической формы	1	1
60	это наиболее ценная	1	1
61	в связи с	2	1
62	поэтика опираясь на	1	1
63	наиболее ценная часть	1	1
64	ценная часть нашей	1	1
65	не выходит за	1	1
66	все эти вопросы	1	1
67	тематика художественный стиль	1	1
68	то же время	8	1
69	изучается имманентно с	1	1
70	опираясь на психологию	1	1
71	частности практикуются ныне	1	1
72	и какие в	1	1
73	и наконец в	2	1
74	в противном случае	1	1
75	не должна быть	1	1
76	и в то	1	1
77	так называемым формальным	2	1
78	науки о литературе	2	1
79	в лучшем случае	3	1
80	с одной стороны	4	1
81	том и заключается	1	1
82	и лингвистику и	1	1
83	во всяком случае	4	1
84	какие в частности	1	1
