N	3gram	Bakhtin_Pr_4	Formalny
1	с точки зрения	9	13
2	то же время	5	8
3	в то же	5	8
4	более или менее	3	6
5	до сих пор	8	6
6	не может быть	8	5
7	по отношению к	5	4
8	одной стороны и	1	4
9	с одной стороны	1	4
10	во всяком случае	1	4
11	так и в	1	4
12	прежде всего в	1	3
13	может быть и	1	3
14	бы ни были	1	2
15	нет и не	2	2
16	а вовсе не	1	2
17	и наконец в	1	2
18	и не в	2	2
19	и не может	7	2
20	как и все	4	2
21	сами по себе	2	2
22	реагировать на него	1	2
23	в строгом смысле	2	2
24	как мы увидим	3	2
25	бы оно было	1	2
26	как если бы	2	2
27	в большинстве случаев	8	2
28	но в то	2	2
29	не может войти	1	2
30	в связи с	1	2
31	в этом пункте	1	2
32	и в их	1	2
33	до настоящего времени	1	2
34	друг от друга	1	2
35	может войти в	1	2
36	сама по себе	2	2
37	если бы оно	1	2
38	должно быть адекватно	1	1
39	историка литературы и	1	1
40	очень важное место	1	1
41	этом романе и	1	1
42	в этом его	1	1
43	как один из	1	1
44	как и всякое	1	1
45	хотя и здесь	1	1
46	в этом смысле	2	1
47	отношению к этой	1	1
48	несколько упрощаем и	1	1
49	предмет и задачи	1	1
50	же как и	1	1
51	как раз и	3	1
52	не может не	1	1
53	оно должно быть	2	1
54	слова но лишь	1	1
55	и во всех	1	1
56	если же он	1	1
57	при этом не	1	1
58	хотя бы и	1	1
59	в том что	2	1
60	или менее глубокой	1	1
61	идеологических оценок в	1	1
62	но и в	2	1
63	обрабатывается именно как	1	1
64	занимает очень важное	1	1
65	на самом же	1	1
66	вместо того чтобы	1	1
67	том числе и	3	1
68	резко отличается от	1	1
69	за ней в	1	1
70	увидим дальше что	1	1
71	быть более или	2	1
72	так сказать в	1	1
73	не могло быть	1	1
74	мы увидим дальше	1	1
75	большое значение в	1	1
76	и пр он	1	1
77	в данном случае	1	1
78	сих пор почти	1	1
79	значительно и важно	1	1
80	в высшей степени	1	1
81	дистанцию по отношению	1	1
82	и в то	1	1
83	они вовсе не	1	1
84	в отличие от	3	1
85	по сравнению с	1	1
86	к одному знаменателю	3	1
87	все эти вопросы	1	1
88	так или иначе	1	1
89	с разных сторон	1	1
90	а не как	1	1
91	это конечно не	1	1
92	не должна быть	1	1
93	в точном смысле	1	1
94	большинстве же случаев	1	1
95	с другой стороны	3	1
96	в каждом своем	1	1
97	если же они	1	1
98	так же как	1	1
99	самом же деле	1	1
100	точки зрения своей	1	1
101	для историка литературы	1	1
102	самом деле в	1	1
103	между тем как	1	1
104	в общем не	1	1
105	в широком смысле	1	1
106	бы ни было	1	1
107	вовсе не как	1	1
108	в той же	1	1
109	между этими двумя	1	1
110	в данную эпоху	1	1
111	в большинстве же	1	1
112	в каждом элементе	1	1
113	и до сих	2	1
114	с самого начала	1	1
115	свести концы с	1	1
116	глубже и существеннее	1	1
117	выдвинул у нас	1	1
118	разобранная нами особенность	1	1
119	в своих последних	1	1
120	и все остальные	1	1
121	но все же	1	1
122	как своего рода	1	1
123	не с точки	1	1
124	как мы знаем	1	1
125	все в этом	1	1
126	в этом романе	2	1
127	определенное место в	1	1
128	концы с концами	1	1
129	в том числе	4	1
130	к тому что	1	1
131	из этих моментов	1	1
132	его жизнь и	1	1
133	в отношении к	2	1
134	и всякое иное	1	1
135	и до настоящего	1	1
136	все это не	1	1
137	выходит за пределы	1	1
138	в его конкретной	1	1
139	мы увидим что	2	1
140	не в этом	1	1
141	в жизни и	1	1
142	по своей природе	2	1
143	может быть более	2	1
144	существенное влияние на	1	1
145	в пределах одного	6	1
