N	2gram	Losev_Vlad_3	Istorich
1	и в	40	28
2	может быть	8	25
3	а не	8	15
4	не может	14	15
5	никогда не	11	14
6	мы имеем	3	13
7	мы должны	4	13
8	для нас	5	13
9	то же	4	12
10	не только	25	12
11	что в	17	12
12	мы видим	1	11
13	только в	13	11
14	мы не	2	10
15	все же	4	10
16	и что	8	10
17	что он	5	10
18	но и	18	10
19	прежде всего	10	10
20	не в	3	9
21	так и	6	9
22	о том	11	9
23	то что	28	9
24	видим что	1	9
25	в том	18	9
26	и не	25	9
27	в этом	16	8
28	но в	4	8
29	что это	9	8
30	таким образом	11	8
31	не всегда	1	8
32	если бы	3	8
33	в ней	5	7
34	это не	3	7
35	еще не	4	7
36	и здесь	6	7
37	и др	1	7
38	что мы	2	7
39	так же	8	7
40	том что	18	7
41	было бы	4	7
42	в этих	2	7
43	а в	7	7
44	в этой	8	6
45	это тоже	2	6
46	его в	2	6
47	для изучения	1	6
48	тем не	10	6
49	не менее	9	6
50	к тому	7	6
51	что и	7	6
52	вслед за	1	6
53	так как	7	6
54	представляют собой	1	6
55	с другой	5	6
56	вместе с	7	6
57	когда он	1	6
58	видно что	1	6
59	например в	1	5
60	должна быть	2	5
61	вопрос о	4	5
62	мы будем	2	5
63	что они	1	5
64	в своем	8	5
65	более или	5	5
66	что она	2	5
67	в силу	2	5
68	по существу	4	5
69	их в	1	5
70	или менее	5	5
71	не будем	1	5
72	в дальнейшем	4	5
73	можно было	5	5
74	в его	14	5
75	что здесь	3	5
76	но не	4	5
77	в качестве	3	5
78	в одном	5	5
79	до сих	1	5
80	к которому	1	5
81	на более	2	5
82	сих пор	1	5
83	сказать что	12	5
84	другой стороны	2	5
85	ее в	3	5
86	и даже	6	4
87	и для	3	4
88	и на	6	4
89	то мы	1	4
90	чем это	2	4
91	не то	1	4
92	не все	3	4
93	с этим	2	4
94	все эти	5	4
95	на то	4	4
96	но все	3	4
97	об этом	6	4
98	и с	9	4
99	с тем	7	4
100	как и	7	4
101	даже в	4	4
102	на него	2	4
103	в основе	1	4
104	находится в	3	4
105	связи с	2	4
106	должны быть	1	4
107	здесь не	3	4
108	так в	1	4
109	другими словами	1	4
110	того что	7	4
111	с одной	3	4
112	потому что	11	4
113	так что	14	4
114	мы знаем	3	4
115	а именно	12	4
116	один из	1	4
117	одной стороны	3	4
118	как будто	1	4
119	все это	1	4
120	в связи	3	4
121	хотя бы	6	4
122	но это	6	4
123	но оно	2	4
124	и другие	1	4
125	они не	1	4
126	также и	17	3
127	чтобы не	1	3
128	начинается с	1	3
129	мы здесь	1	3
130	время как	2	3
131	я не	3	3
132	то это	10	3
133	и он	1	3
134	там и	1	3
135	не просто	10	3
136	перед нами	3	3
137	к чему	1	3
138	точку зрения	1	3
139	при этом	3	3
140	не как	2	3
141	и по	2	3
142	же не	2	3
143	в другом	2	3
144	из них	2	3
145	не с	4	3
146	во время	1	3
147	в котором	4	3
148	в их	2	3
149	выше мы	2	3
150	надо сказать	1	3
151	это дело	1	3
152	по себе	6	3
153	раз и	8	3
154	в то	7	3
155	дело в	5	3
156	того как	1	3
157	в руки	1	3
158	очень часто	1	3
159	есть только	9	3
160	же самое	3	3
161	утверждать что	1	3
162	как мы	8	3
163	с того	1	3
164	и должно	1	3
165	или на	1	3
166	в какой	2	3
167	во всем	6	3
168	должен был	2	3
169	и его	10	3
170	уже не	9	3
171	не можем	2	3
172	если мы	4	3
173	в начале	2	3
174	и их	1	3
175	то время	4	3
176	тем что	5	3
177	именно в	3	3
178	на эту	1	3
179	как это	4	3
180	из которых	1	3
181	наряду с	2	3
182	что же	9	3
183	в книге	2	3
184	более ранних	1	3
185	будто бы	1	3
186	к сожалению	1	3
187	точно так	4	3
188	с природой	1	2
189	отношения к	5	2
190	же как	3	2
191	и потому	10	2
192	по его	2	2
193	из всех	1	2
194	что если	4	2
195	не вполне	2	2
196	что вопрос	1	2
197	когда мы	1	2
198	это время	2	2
199	к своему	2	2
200	бы то	3	2
201	во всех	1	2
202	как таковая	1	2
