1	у нас	2	3
2	все это	1	2
3	видеть в	2	2
4	в ней	7	2
5	и не	18	2
6	не то	1	2
7	можно было	1	2
8	и в	39	1
9	все же	6	1
10	точке зрения	2	1
11	на самом	1	1
12	должна быть	3	1
13	не только	21	1
14	далеко не	1	1
15	таким образом	13	1
16	следовало бы	1	1
17	в данном	1	1
18	а не	21	1
19	было бы	12	1
20	и более	2	1
21	без понимания	1	1
22	и о	2	1
23	не следует	5	1
24	бы только	2	1
25	прежде всего	4	1
26	и нет	1	1
27	и во	3	1
28	то как	1	1
29	невозможны без	1	1
30	и на	1	1
31	так и	13	1
32	в речи	1	1
33	нас по	1	1
34	к ней	2	1
35	и потому	5	1
36	между ними	1	1
37	никак не	2	1
38	во всяком	3	1
39	и ее	1	1
40	не вполне	1	1
41	на которой	1	1
42	как будто	2	1
43	крайней мере	2	1
44	нет но	1	1
45	еще не	6	1
46	не было	4	1
47	совершенно не	1	1
48	с другой	7	1
49	в своей	3	1
50	его не	1	1
51	значительной степени	2	1
52	же не	1	1
53	всяком случае	1	1
54	будто бы	1	1
55	тем более	2	1
56	что все	3	1
57	вопрос о	4	1
58	в области	1	1
59	из ее	1	1
60	за пределы	2	1
61	не все	2	1
62	по крайней	2	1
63	значение слова	1	1
64	что в	22	1
65	другой стороны	5	1
