N	4gram	Voloshinov_1	PoTuStor
1	и пр и пр	2	2
2	бы то ни было	8	1
3	в тесной зависимости от	1	1
4	одного и того же	5	1
5	не может быть ничего	1	1
6	одна и та же	1	1
7	в этом отношении и	1	1
8	или во всяком случае	1	1
9	если мы отвлечемся от	2	1
10	оно само нуждается в	1	1
11	с этой точки зрения	1	1
12	мы на самом деле	1	1
13	одну и ту же	1	1
14	каких бы то ни	3	1
15	не чем иным как	1	1
16	так же как и	2	1
17	на первый план выдвигается	1	1
18	может быть ничего общего	1	1
19	в его целом это	1	1
20	очень важный момент в	1	1
21	в связи с этим	3	1
22	именно здесь в области	1	1
