N	2gram	Vinokur_Ku_2	Marksizm
1	точки зрения	14	34
2	может быть	15	26
3	и не	16	26
4	не может	9	24
5	с точки	8	20
6	и в	23	19
7	и его	3	19
8	языка как	2	17
9	таким образом	5	17
10	в этом	18	16
11	как бы	4	15
12	в процессе	3	14
13	языка в	3	14
14	как мы	3	13
15	языка и	8	13
16	прежде всего	8	13
17	как и	2	12
18	и пр	8	12
19	если мы	4	11
20	так и	4	11
21	связи с	3	11
22	и для	2	11
23	самом деле	9	10
24	в нем	4	10
25	в слове	1	10
26	ни было	1	10
27	в самом	12	10
28	лишь в	5	9
29	только в	5	9
30	для него	1	9
31	в результате	4	9
32	бы то	1	8
33	все же	7	8
34	не только	20	8
35	при этом	2	8
36	то ни	1	8
37	до сих	1	8
38	но и	7	8
39	сих пор	1	8
40	то что	9	8
41	в ее	1	7
42	но в	11	7
43	все эти	12	7
44	то же	6	7
45	в каждом	1	7
46	слова как	3	7
47	а не	10	7
48	в связи	4	7
49	так же	4	7
50	отнюдь не	4	6
51	кроме того	1	6
52	мы не	1	6
53	ничего не	4	6
54	в пределах	4	6
55	и здесь	5	6
56	настоящее время	1	6
57	в его	5	6
58	на почве	1	6
59	в том	19	6
60	с помощью	7	6
61	в настоящее	1	6
62	другой стороны	7	6
63	того же	3	6
64	языку как	1	5
65	знак и	1	5
66	отличие от	2	5
67	конечно не	2	5
68	по преимуществу	2	5
69	языка для	1	5
70	рядом с	2	5
71	в отличие	2	5
72	не в	8	5
73	того чтобы	11	5
74	ничего общего	1	5
75	те же	3	5
76	совершается в	1	5
77	и все	2	5
78	этот вопрос	6	5
79	ясно что	5	5
80	в конце	4	5
81	вовсе не	9	5
82	с другой	8	5
83	именно в	3	5
84	до конца	3	5
85	мы знаем	4	5
86	и потому	2	5
87	хотя бы	9	5
88	к этому	4	5
89	во всяком	5	5
90	что слово	3	4
91	вопрос о	9	4
92	и на	6	4
93	нет и	1	4
94	как в	3	4
95	выражение в	3	4
96	к одному	1	4
97	лишь с	2	4
98	здесь мы	2	4
99	не будет	1	4
100	было бы	15	4
101	языкового творчества	3	4
102	не менее	7	4
103	по себе	10	4
104	в отношении	2	4
105	самого начала	1	4
106	в ней	3	4
107	с самого	1	4
108	в языке	10	4
109	язык в	2	4
110	язык есть	1	4
111	еще не	5	4
112	как специфического	1	4
113	слово как	1	4
114	от того	4	4
115	для того	9	4
116	этой проблемы	1	4
117	далеко не	1	4
118	и между	1	4
119	с этим	3	4
120	в данном	4	4
121	что же	5	4
122	тот же	5	4
123	а в	3	4
124	между ними	1	4
125	сказать что	4	4
126	что в	10	4
127	на самом	2	3
128	он может	1	3
129	и есть	2	3
130	а как	1	3
131	в сущности	9	3
132	в большинстве	1	3
133	по отношению	1	3
134	общего с	1	3
135	целый ряд	5	3
136	и как	1	3
137	и к	1	3
138	в которой	1	3
