N	2gram	Tiupa_Anal_1	Otkroven
1	у него	1	22
2	и в	18	19
3	но и	17	13
4	и не	21	13
5	в этом	13	12
6	не в	14	11
7	не только	15	11
8	может быть	29	11
9	а не	17	11
10	человека и	1	10
11	вопрос о	2	10
12	в нем	3	10
13	и все	3	10
14	в самой	1	9
15	прежде всего	6	9
16	к человеку	1	9
17	не было	1	9
18	никогда не	2	9
19	потому что	2	9
20	он был	1	8
21	он всегда	1	7
22	в его	13	7
23	он не	3	7
24	в глубине	1	7
25	лишь в	5	7
26	ни с	3	7
27	нет ничего	2	7
28	но он	1	7
29	от него	1	7
30	как и	13	6
31	отношение к	2	5
32	в том	27	5
33	в самом	6	5
34	в этой	5	5
35	для него	2	5
36	о его	1	5
37	а в	9	5
38	то что	6	5
39	он сам	1	4
40	с его	3	4
41	все эти	2	4
42	что не	3	4
43	не может	22	4
44	того чтобы	3	4
45	человек и	1	4
46	и его	5	4
47	что в	5	4
48	и есть	3	3
49	быть может	2	3
50	о том	5	3
51	еще не	3	3
52	к нему	3	3
53	было бы	2	3
54	того что	4	3
55	что он	3	3
56	и ее	1	3
57	в себе	11	3
58	о природе	1	3
59	не могут	3	3
60	для того	4	3
61	это не	6	3
62	только одно	1	3
63	никто не	3	3
64	могут быть	4	3
65	как бы	5	3
66	с ним	4	3
67	и от	1	3
68	в этих	1	3
69	хотя бы	3	3
70	в своих	1	3
71	все что	1	3
72	и с	2	2
73	и то	2	2
74	в ее	1	2
75	мысль о	2	2
76	этого мира	1	2
77	так и	4	2
78	и о	2	2
79	по себе	4	2
80	сложнее и	1	2
81	и на	5	2
82	художественном творчестве	1	2
83	не все	2	2
84	что и	3	2
85	как к	2	2
86	все же	4	2
87	и к	3	2
88	и потому	2	2
89	в которой	2	2
90	что достоевский	1	2
91	он в	1	2
92	учение о	1	2
93	так что	1	2
94	в душе	1	2
95	что для	1	2
96	так как	2	2
97	в другом	4	2
98	его в	1	2
99	человека а	1	2
100	одного только	1	2
101	с тем	1	2
102	личности и	1	2
103	для человека	1	2
104	должно быть	2	2
105	него не	1	2
106	том что	12	2
107	ко всем	1	2
108	человека к	4	2
109	что же	2	2
110	человека есть	1	2
111	и для	1	2
112	ничего не	1	2
113	ничто не	2	2
114	не есть	8	2
115	жизни в	1	2
116	в своей	6	2
117	что все	1	2
118	всего в	1	2
119	хотя и	1	2
120	ее в	1	2
121	все еще	1	2
122	но в	8	2
123	смысле слова	1	1
124	отношения к	2	1
125	также и	2	1
126	например в	1	1
127	можно и	1	1
128	в виду	1	1
129	сам по	1	1
130	с кем	1	1
131	на нем	1	1
132	людей в	1	1
133	не могу	2	1
134	л толстого	1	1
135	на самом	2	1
136	могут и	1	1
137	науки о	2	1
138	между двумя	3	1
139	уже с	1	1
140	лучше сказать	1	1
141	и до	2	1
142	не имеют	1	1
143	должна быть	1	1
144	и больше	1	1
145	видеть в	1	1
146	природе своей	2	1
147	нам человека	1	1
148	человека он	1	1
149	не с	4	1
150	есть не	8	1
151	по природе	3	1
152	мы не	1	1
153	том как	1	1
154	если бы	3	1
155	в сущности	6	1
156	это какое-то	1	1
157	не вполне	1	1
158	о нем	3	1
159	о границах	1	1
160	но к	2	1
161	судьба человека	1	1
162	и был	1	1
163	в ней	1	1
164	на примере	2	1
165	и что	1	1
166	ожидать от	1	1
167	его жизни	1	1
168	это была	1	1
169	во внешнем	3	1
170	каждом из	2	1
171	самом деле	2	1
172	в которую	1	1
173	что люди	1	1
174	которого не	1	1
175	но не	10	1
176	то он	2	1
177	в откровении	1	1
178	в новом	2	1
179	нуждается в	8	1
180	с духом	1	1
181	чем и	2	1
182	все время	1	1
183	у одного	1	1
184	он создал	1	1
185	человека как	1	1
186	которой в	1	1
187	есть откровение	1	1
188	как в	1	1
189	что как	3	1
190	в частности	19	1
191	один из	2	1
192	сознания в	4	1
193	и как	5	1
194	ли он	2	1
195	проникнуть в	1	1
196	то в	2	1
197	который в	2	1
198	их жизни	1	1
199	что это	1	1
200	вопрос об	3	1
201	представляет собой	16	1
202	не оставляет	1	1
203	к которой	1	1
204	думать что	2	1
205	с какой	1	1
206	но о	2	1
207	есть уже	1	1
208	только один	1	1
209	уже не	4	1
210	а вовсе	1	1
211	бы ни	2	1
212	да и	1	1
213	речи и	1	1
214	из них	2	1
215	но от	1	1
216	его и	2	1
217	от которого	2	1
218	чего бы	1	1
219	видел в	1	1
220	в силу	3	1
221	в одном	1	1
222	вовсе не	2	1
223	и сам	2	1
224	любой из	1	1
225	мысли как	1	1
226	из него	1	1
227	этом отношении	2	1
228	ни был	1	1
229	же не	1	1
230	том случае	1	1
231	эволюции в	1	1
232	его собственного	1	1
233	и даже	1	1
234	со стороны	2	1
235	самим собой	2	1
236	заключается в	1	1
237	есть без	1	1
238	а именно	3	1
239	лица в	1	1
240	с вопросом	1	1
241	с той	1	1
242	действующих лиц	1	1
243	было и	1	1
244	во внешней	1	1
245	этим именем	1	1
246	смерть и	1	1
247	говорит о	1	1
248	знаменательно что	1	1
249	жизни человека	1	1
250	во внутренней	1	1
251	в них	1	1
252	этого слова	7	1
253	она и	1	1
254	а с	3	1
255	человек в	3	1
256	о чем	1	1
257	ведет к	3	1
258	в пределы	1	1
259	в мире	8	1
260	и тогда	2	1
261	над его	1	1
262	мира в	2	1
263	он и	1	1
264	не так	1	1
265	связь с	1	1
266	исследование возможностей	1	1
267	начиная с	1	1
268	художественного творчества	2	1
269	его как	1	1
270	как это	1	1
271	в котором	3	1
272	что говорит	1	1
273	одном из	1	1
274	смысле этого	1	1
275	может пользоваться	1	1
276	в мир	1	1
277	всяком случае	1	1
278	и более	4	1
279	друг с	1	1
280	как от	2	1
281	в человеческой	1	1
282	быть не	3	1
283	которая ни	1	1
284	да ведь	1	1
285	в отношении	1	1
286	но это	1	1
287	отличается от	2	1
288	одна из	1	1
289	в науке	1	1
290	она должна	1	1
291	в процессе	2	1
292	было не	1	1
293	тип человека	1	1
294	или лучше	1	1
295	виду не	1	1
296	не случайно	3	1
297	указать на	1	1
298	он указывает	1	1
299	человека для	1	1
300	норме и	1	1
301	может служить	2	1
302	в разных	1	1
303	и трагическое	1	1
304	ее и	1	1
305	особого рода	7	1
306	по своей	6	1
307	уровень его	1	1
308	во всем	1	1
309	и дело	1	1
310	в сознании	2	1
311	как будто	3	1
312	личность и	1	1
313	с другом	1	1
314	лишь по	1	1
315	и эта	1	1
316	была бы	2	1
317	совершенно не	1	1
318	к его	1	1
319	и заключается	2	1
320	та же	1	1
321	в свое	2	1
322	особенно в	2	1
323	человека человек	1	1
324	духа он	1	1
325	и состоит	5	1
326	его с	1	1
327	жизни и	1	1
328	будто бы	3	1
329	во всяком	1	1
330	случае если	1	1
331	пользоваться им	1	1
