N	2gram	Bakhtin_Pr_3	TeoriaLi
1	в мире	4	24
2	не только	10	18
3	и не	29	16
4	я в	4	16
5	а в	5	14
6	и в	34	13
7	то есть	1	12
8	так и	6	12
9	может быть	19	12
10	в этом	16	11
11	при этом	4	11
12	в том	3	11
13	но не	4	10
14	и его	16	10
15	а не	9	10
16	то же	14	9
17	в его	22	9
18	по отношению	5	8
19	своего рода	2	8
20	сводится к	3	8
21	в душе	2	8
22	но и	12	8
23	отношению к	6	8
24	что в	7	8
25	отличие от	2	7
26	в себе	6	7
27	том что	3	7
28	точки зрения	8	7
29	в отличие	2	7
30	в то	12	7
31	по своей	1	7
32	только в	6	7
33	себя в	1	7
34	в данном	1	7
35	еще не	4	6
36	с его	6	6
37	но в	16	6
38	лишь в	5	6
39	же время	12	6
40	как бы	27	6
41	данном случае	1	5
42	в своем	2	5
43	в самом	8	5
44	роли в	1	5
45	он не	15	5
46	того или	2	5
47	как и	18	5
48	не в	9	5
49	однако в	2	5
50	в нем	19	5
51	в ее	3	5
52	в пределах	6	5
53	или иной	2	5
54	между тем	3	5
55	уже не	2	5
56	не случайно	1	5
57	с другой	4	5
58	как в	4	5
59	я с	1	5
60	между ними	1	5
61	героя и	9	5
62	по преимуществу	1	4
63	говорить о	3	4
64	а и	1	4
65	отношение к	6	4
66	хотя и	3	4
67	то что	11	4
68	ни в	4	4
69	в слове	5	4
70	в своей	3	4
71	в их	1	4
72	не столько	1	4
73	художественного мира	1	4
74	не менее	3	4
75	приводит к	1	4
76	можно сказать	1	4
77	в форме	2	4
78	и ее	2	4
79	но он	3	4
80	в свою	1	4
81	не знает	6	4
82	сказать что	2	4
83	не может	19	4
84	и то	3	3
85	между двумя	2	3
86	например в	2	3
87	совпадает с	2	3
88	я на	1	3
89	в сторону	2	3
90	не все	1	3
91	герой не	2	3
92	перед нами	1	3
93	и к	12	3
94	все эти	4	3
95	в этой	1	3
96	он должен	2	3
97	и вот	5	3
98	и по	1	3
99	самим собой	6	3
100	его в	4	3
101	этом смысле	4	3
102	мог бы	2	3
103	литературных произведений	1	3
104	и сам	5	3
105	в этих	1	3
106	тем не	2	3
107	в отношении	9	3
108	взглянула на	1	3
109	никогда не	8	3
110	на меня	4	3
111	как раз	4	3
112	потому что	12	3
113	той или	2	3
114	свою очередь	1	3
115	другой стороны	3	3
116	в произведении	1	3
117	так в	2	3
118	в другом	8	3
119	и что	5	3
120	входит в	2	3
121	того что	5	3
122	а с	3	3
123	человека с	3	3
124	в итоге	1	3
125	для него	13	3
126	слова в	7	3
127	с ее	3	3
128	причастности к	1	3
129	прежде всего	15	3
130	и потому	2	3
131	человека к	1	3
132	по своему	3	3
