N	2gram	Propp_Isto_1	Problemy
1	и в	28	34
2	и не	9	29
3	как бы	2	27
4	что он	10	23
5	в его	5	22
6	в нем	2	19
7	может быть	25	19
8	не может	15	19
9	и все	1	19
10	как и	4	18
11	в этом	8	16
12	но в	8	16
13	и его	3	16
14	все это	4	16
15	он не	2	15
16	и с	4	15
17	прежде всего	10	15
18	то же	12	14
19	для него	2	13
20	и к	1	12
21	в то	3	12
22	потому что	4	12
23	но и	10	12
24	т е	10	12
25	на самом	1	11
26	вовсе не	2	11
27	то что	9	11
28	не только	12	10
29	не в	9	9
30	в отношении	1	9
31	а не	15	9
32	и т	25	8
33	с самого	2	8
34	самого начала	2	8
35	никогда не	14	8
36	с ним	2	8
37	в другом	3	8
38	так же	7	8
39	что же	3	8
40	и для	4	8
41	я не	3	7
42	на него	4	7
43	как будто	4	7
44	как мы	3	7
45	слова в	1	7
46	и даже	4	7
47	что не	2	7
48	там где	4	7
49	этого слова	1	7
50	все же	10	7
51	что в	12	7
52	мы уже	1	6
53	и на	4	6
54	что они	5	6
55	в пределах	4	6
56	что у	1	6
57	от себя	1	6
58	у меня	3	6
59	так и	9	6
60	в себе	2	6
61	только в	11	6
62	т п	1	6
63	не знает	5	6
64	отношению к	3	6
65	на них	2	5
66	по отношению	3	5
67	и у	1	5
68	что это	8	5
69	в целом	2	5
70	и вот	2	5
71	но все	4	5
72	с тем	4	5
73	не мог	1	5
74	в конце	1	5
75	даже в	4	5
76	таким образом	8	5
77	к тому	6	5
78	и что	10	5
79	что и	6	5
80	это не	7	5
81	того что	4	5
82	и так	1	5
83	так что	4	5
84	из них	3	5
85	в одном	5	5
86	к своему	2	5
87	дело идет	1	5
88	и от	2	5
89	мы должны	13	5
90	хотя бы	4	5
91	а в	7	5
92	что ты	1	5
93	героя в	5	5
94	во всяком	1	5
95	из его	1	4
96	он как	1	4
97	еще не	7	4
98	бы то	2	4
99	но не	5	4
100	но как	1	4
101	как в	2	4
102	он в	2	4
103	все эти	4	4
104	при этом	3	4
105	на этом	3	4
106	то ни	2	4
107	его в	6	4
108	этом смысле	1	4
109	но это	4	4
110	друг другу	1	4
111	он с	1	4
112	ничего не	2	4
113	он хочет	1	4
114	как раз	2	4
115	и это	1	4
116	если бы	8	4
117	герой из	1	4
118	на вопрос	2	4
119	только на	1	4
120	в виде	2	4
121	в начале	3	4
122	так как	6	4
123	у него	1	4
124	с другой	6	4
125	тем что	3	4
126	вместе с	6	4
127	и голос	1	4
128	да и	1	4
129	бы он	1	4
130	из своего	1	4
131	ни было	2	4
132	бы его	1	4
133	в такой	2	3
134	и то	1	3
135	за собой	2	3
136	ведь и	1	3
137	так чтобы	2	3
138	говорить о	1	3
139	в виду	1	3
140	в ней	7	3
141	совсем не	1	3
142	вот как	1	3
143	хотя и	1	3
144	и как	2	3
145	поэтому он	2	3
146	ее как	1	3
147	как он	2	3
148	героя из	2	3
149	не как	3	3
150	их в	5	3
151	знает что	1	3
152	это было	2	3
153	его и	2	3
154	а что	1	3
155	этого не	1	3
156	мы видели	2	3
157	должно быть	2	3
158	раз и	3	3
159	в своей	1	3
160	в котором	3	3
161	не менее	6	3
162	но он	1	3
163	по себе	3	3
164	как можно	1	3
165	том что	7	3
166	во всем	3	3
167	есть только	3	3
168	где он	1	3
169	в ее	2	3
170	говорили что	1	3
171	еще в	2	3
172	для этого	3	3
173	сводится к	1	3
174	в глаза	1	3
175	между тем	2	3
176	к концу	1	3
177	но так	2	3
178	в том	9	3
179	большинстве случаев	4	3
180	от другого	1	3
181	свое лицо	1	3
182	а с	2	3
183	эти слова	1	3
184	словом и	1	3
185	бы в	2	3
186	только с	2	3
187	другой стороны	5	3
188	например в	5	2
189	он может	1	2
190	это и	1	2
191	и этот	1	2
192	а как	1	2
193	себе как	1	2
194	та же	1	2
195	героя но	1	2
196	и он	3	2
197	меня в	1	2
198	в которых	1	2
199	столь же	2	2
200	во всех	2	2
201	бы не	1	2
202	друг на	1	2
203	в сторону	1	2
204	герой не	1	2
205	отличие от	2	2
206	материалом для	1	2
207	с этим	4	2
208	в своем	5	2
209	когда он	6	2
210	увидим что	5	2
211	в этот	1	2
212	к чему	3	2
213	в которой	1	2
214	мне не	1	2
215	бы с	1	2
216	в большинстве	4	2
217	тому же	1	2
218	вследствие этого	2	2
219	так сказать	1	2
220	т д	22	2
221	а просто	1	2
222	всех этих	2	2
223	он должен	2	2
224	и если	2	2
225	друг с	4	2
226	подобно тому	1	2
227	же не	3	2
228	те же	1	2
229	было бы	7	2
230	в жизни	1	2
231	кажется что	1	2
232	по всему	1	2
233	в них	1	2
234	был бы	2	2
235	что такое	2	2
236	она в	1	2
237	в отличие	2	2
238	своего рода	1	2
239	злой человек	1	2
240	которые в	2	2
241	тем не	6	2
242	войти в	1	2
243	однако в	2	2
244	тому чтобы	1	2
245	на всю	1	2
246	тому что	1	2
247	во время	3	2
248	тогда и	1	2
249	о них	1	2
250	этом случае	1	2
251	к ней	1	2
252	такая же	1	2
253	же слова	1	2
254	о нем	2	2
255	входят в	1	2
256	с другом	3	2
257	и со	1	2
258	очень часто	3	2
259	отнюдь не	1	2
260	лежит в	1	2
261	одно только	1	2
262	этого и	1	2
263	отказаться от	2	2
264	всем этим	1	2
265	так в	4	2
266	собой и	1	2
267	находится в	4	2
268	именно потому	1	2
269	и должно	3	2
270	на другого	1	2
271	о том	9	2
272	его очень	1	2
273	надо было	1	2
274	на нее	2	2
275	в форме	3	2
276	и только	2	2
277	и об	1	2
278	один из	4	2
279	но с	1	2
280	тот же	2	2
281	мы увидим	10	2
282	то в	1	2
283	и ее	1	2
284	иной характер	1	2
285	не то	4	2
286	же и	1	2
287	конечно не	2	2
288	уже не	3	2
289	за ним	1	2
290	мы знаем	4	2
291	друг друга	1	2
292	как его	1	2
293	каждый из	1	2
294	нет в	2	2
295	были бы	2	2
296	связан с	1	2
297	к которому	5	2
298	это кажется	1	2
299	он во	1	2
300	было и	1	2
301	отчего же	2	2
302	говорит о	2	2
303	что казалось	1	2
304	не было	1	2
305	которых мы	1	2
306	на друга	1	2
307	а так	1	2
308	когда она	1	2
309	знают и	1	2
310	вступает в	2	2
311	в темноте	2	2
312	и потому	2	2
313	с каким-то	1	2
314	себя за	1	2
315	смысле этого	1	2
316	тому как	1	2
317	у вас	2	2
318	которой он	1	2
319	нисколько не	2	2
320	пока еще	1	2
321	что оно	1	2
322	вопрос о	5	2
323	в другой	1	2
324	не с	3	2
325	будто бы	3	2
326	сказать что	5	2
327	на который	1	2
328	к другим	1	2
329	а может	1	2
330	того или	1	2
331	фигурирует и	1	1
332	но вернемся	1	1
333	ту же	1	1
334	можно говорить	1	1
335	одним из	2	1
336	также и	3	1
337	он нисколько	1	1
338	чтобы не	3	1
339	начинается с	3	1
340	мы здесь	3	1
341	утверждение что	1	1
342	тех же	1	1
343	же был	1	1
344	но тем	1	1
345	и меня	1	1
346	ясно что	2	1
347	в первом	1	1
348	нем но	1	1
349	что эти	1	1
350	и больше	1	1
351	в доме	2	1
352	отношения к	2	1
353	в их	3	1
354	по его	2	1
355	несколько иной	1	1
356	этом направлении	1	1
357	из всех	2	1
358	что уже	1	1
359	приводят к	1	1
360	время как	3	1
361	но она	1	1
362	а во-вторых	1	1
363	но даже	1	1
364	то это	3	1
365	не совсем	3	1
366	из которых	3	1
367	иван не	1	1
368	зависимости от	2	1
369	и был	1	1
370	тон рассказа	1	1
371	меньшей степени	1	1
372	и иначе	1	1
373	на другом	1	1
374	он был	1	1
375	мной в	1	1
376	видели что	3	1
377	отказ от	2	1
378	нет к	1	1
379	то он	2	1
380	к которой	1	1
381	не все	4	1
382	чтоб не	1	1
383	иначе что	1	1
384	уже как	1	1
385	вступают в	1	1
386	тут же	1	1
387	не просто	3	1
388	мы сейчас	2	1
389	когда например	2	1
390	между словом	1	1
391	нас прежде	1	1
392	сих пор	5	1
393	независимо от	1	1
394	из уст	1	1
395	очень трудно	1	1
396	ней в	1	1
397	словом в	1	1
398	как нам	1	1
399	и пр	4	1
400	перед нами	3	1
401	в полном	1	1
402	по внешним	1	1
403	в единый	1	1
404	вообще а	1	1
405	могли бы	3	1
406	исторические корни	2	1
407	месте где	1	1
408	и хотя	1	1
409	и между	2	1
410	них как	1	1
411	еще на	1	1
412	оттого что	1	1
413	нее он	1	1
414	ни один	6	1
415	за это	1	1
416	тоже не	2	1
417	его может	1	1
418	в этой	6	1
419	и тот	2	1
420	и кто	1	1
421	говорят о	1	1
422	во многих	2	1
423	но ведь	1	1
424	уже иное	1	1
425	его но	2	1
426	главным образом	1	1
427	после этого	1	1
428	раз навсегда	1	1
429	к героям	1	1
430	чем иным	1	1
431	этого вопроса	3	1
432	что еще	1	1
433	отца а	1	1
434	какой бы	1	1
435	так например	6	1
436	на то	4	1
437	именно это	2	1
438	значительной степени	1	1
439	здесь мы	7	1
440	опять не	1	1
441	а затем	2	1
442	об этом	4	1
443	в глубине	2	1
444	них не	1	1
445	и мы	2	1
446	не простое	1	1
447	не чем	1	1
448	но уже	2	1
449	ни одной	2	1
450	его отношения	1	1
451	со своими	1	1
452	здесь можно	2	1
453	социальной и	1	1
454	была и	1	1
455	чтобы они	1	1
456	в один	1	1
457	знаешь и	1	1
458	его строем	1	1
459	перед собой	1	1
460	все или	1	1
461	в эту	1	1
462	в этих	7	1
463	таким же	1	1
464	к ивану	1	1
465	в чужие	1	1
466	за этими	1	1
467	его мнению	1	1
468	мы говорили	1	1
469	оказывается что	1	1
470	они уже	1	1
471	должны были	2	1
472	никого и	1	1
473	из области	1	1
474	нем он	1	1
475	иным как	1	1
476	в прямом	1	1
477	говорит как	1	1
478	и эти	3	1
479	и более	1	1
480	есть еще	2	1
481	гл vi	1	1
482	что этот	2	1
483	им под	1	1
484	бы быть	3	1
485	нас к	1	1
486	пять лет	2	1
487	эта мысль	3	1
488	без его	1	1
489	она не	1	1
490	есть нечто	1	1
491	на котором	3	1
492	одна из	2	1
493	что их	2	1
494	я буду	1	1
495	в основе	4	1
496	когда их	1	1
497	образом в	1	1
498	как здесь	1	1
499	это мы	1	1
500	найти в	1	1
501	тогда когда	2	1
502	не лучше	1	1
503	именно с	1	1
504	сам герой	1	1
505	и по	3	1
506	другого также	1	1
507	это сделать	1	1
508	них мы	1	1
509	связи с	4	1
