N	3gram	Vygotskiy__3	Hudozhes
1	по отношению к	2	10
2	в отличие от	6	7
3	не сводится к	1	6
4	более или менее	1	5
5	с другой стороны	3	5
6	той или иной	2	5
7	в том что	17	5
8	состоит в том	3	4
9	и того же	4	3
10	с точки зрения	1	3
11	одного и того	4	3
12	тем не менее	5	3
13	того или иного	2	3
14	в этом смысле	2	3
15	что в основе	1	2
16	и не могло	1	2
17	тот или иной	1	2
18	в значительной степени	1	2
19	с одной стороны	5	2
20	а с другой	3	2
21	так или иначе	1	2
22	приводит к тому	1	2
23	в свою очередь	2	2
24	для того чтобы	7	2
25	на наших глазах	1	2
26	том числе и	1	2
27	в том числе	1	2
28	к тому что	1	2
29	сама по себе	1	2
30	таким образом что	2	1
31	перейдем к вопросу	1	1
32	по своей природе	1	1
33	не могли бы	2	1
34	не в состоянии	1	1
35	что иное как	1	1
36	того же типа	2	1
37	и другого в	1	1
38	в виду не	1	1
39	между собой в	1	1
40	одним и тем	1	1
41	подобно тому как	1	1
42	в этом случае	1	1
43	не менее не	1	1
44	в зависимости от	5	1
45	бы то ни	1	1
46	имеем дело не	1	1
47	из того что	1	1
48	заключает в себе	2	1
49	том или ином	1	1
50	точно так же	1	1
51	начало и конец	1	1
52	могли бы быть	1	1
53	с этой точки	2	1
54	которые лежат в	1	1
55	форма внутренней речи	1	1
56	в самом начале	1	1
57	то ни было	1	1
58	что речь в	1	1
59	к вопросу о	1	1
60	и том же	1	1
61	в известном смысле	2	1
62	не могут быть	1	1
63	и как бы	1	1
64	имеем дело с	1	1
65	пространственных и временных	1	1
66	в связи с	5	1
67	задолго до того	1	1
68	та или иная	3	1
69	в том отношении	1	1
70	так же как	6	1
71	и в том	1	1
72	в то время	4	1
73	есть не что	1	1
74	но на деле	1	1
75	по себе а	1	1
76	в основе его	1	1
77	же по своей	1	1
78	и речевой деятельности	1	1
79	о том что	3	1
80	этой точки зрения	2	1
81	и в самом	1	1
82	включает в себя	2	1
83	ту или иную	1	1
84	и внутренней речи	3	1
85	друг от друга	1	1
86	не что иное	1	1
87	и тем же	1	1
88	одном и том	1	1
89	то что они	1	1
90	самое существенное для	1	1
91	не может быть	2	1
92	человека и его	1	1
93	как и в	2	1
94	так же точно	3	1
