N	2gram	Savitsky_E_1	Mirosoze
1	может быть	6	30
2	не только	18	29
3	и в	37	28
4	не может	9	28
5	но и	14	25
6	а не	2	25
7	он не	2	24
8	в этом	12	20
9	не было	1	18
10	не в	5	16
11	потому что	3	16
12	в ней	4	15
13	в своей	8	15
14	переходит в	1	15
15	никогда не	3	14
16	в нем	1	13
17	и это	1	12
18	в самом	4	11
19	для него	1	11
20	и не	14	11
21	в своем	14	10
22	было бы	8	10
23	что в	21	10
24	в мире	2	10
25	прежде всего	9	10
26	был бы	1	10
27	и потому	5	10
28	и все	2	10
29	с тем	3	9
30	и его	1	9
31	не есть	2	9
32	в его	2	9
33	в глубине	1	8
34	в котором	2	8
35	но не	5	8
36	но в	14	7
37	в себе	9	7
38	быть может	1	7
39	в самой	1	7
40	любви к	1	7
41	к нему	2	7
42	того что	7	7
43	нет ничего	1	7
44	должна быть	2	6
45	и на	6	6
46	он сам	2	6
47	лишь в	1	6
48	в этой	2	6
49	только в	9	6
50	вместе с	2	6
51	в том	11	6
52	от нее	1	5
53	как и	7	5
54	у нас	1	5
55	не могут	2	5
56	то что	6	5
57	мира и	3	5
58	или к	1	4
59	и этот	2	4
60	есть не	2	4
61	за пределы	1	4
62	увидим что	1	4
63	то нет	1	4
64	не к	2	4
65	не как	1	4
66	и по	5	4
67	в них	3	4
68	в этих	2	4
69	точки зрения	23	4
70	в их	11	4
71	в которых	3	4
72	к концу	1	4
73	к ней	4	4
74	она не	2	4
75	мог бы	2	4
76	что и	3	4
77	значит что	1	4
78	один из	1	4
79	уже не	1	4
80	уже в	1	4
81	а в	2	4
82	тем что	3	4
83	с этой	6	4
84	на пути	1	4
85	с его	1	3
86	с этим	2	3
87	когда он	3	3
88	этого мира	1	3
89	бы и	3	3
90	и еще	2	3
91	этот процесс	2	3
92	на этом	1	3
93	заключает в	3	3
94	и с	2	3
95	то есть	6	3
96	в жизни	1	3
97	только одно	2	3
98	для них	2	3
99	пребывает в	1	3
100	мир в	1	3
101	духовной жизни	2	3
102	том что	6	3
103	но если	5	3
104	мира не	2	3
105	не имеет	4	3
106	на путях	4	3
107	к тому	8	3
108	в ее	8	3
109	с собой	1	3
110	для человеческого	1	3
111	только и	1	3
112	конечно не	1	3
113	одно из	1	3
114	и их	1	3
115	так как	7	3
116	ко всем	1	3
117	плоти и	1	3
118	это есть	1	3
119	это значит	2	3
120	должно быть	1	3
121	для нас	4	3
122	хотя бы	15	3
123	мы увидим	1	3
124	от природы	1	3
125	на своем	3	3
126	также и	7	2
127	чтобы не	1	2
128	в этот	1	2
129	связана с	1	2
130	вопрос о	4	2
131	о россии	3	2
132	время как	1	2
133	литературы и	1	2
134	истории в	1	2
135	по отношению	1	2
136	относится к	1	2
137	в истории	2	2
138	т е	9	2
139	в центре	1	2
140	как в	3	2
141	кровь от	1	2
142	все же	1	2
143	и как	2	2
144	и к	3	2
145	от этого	5	2
146	он в	1	2
147	все эти	1	2
148	с их	1	2
149	вообще не	3	2
150	если бы	2	2
151	с ней	1	2
152	не значит	1	2
153	в россии	5	2
154	проблемы и	2	2
155	тому чтобы	2	2
156	входит в	1	2
157	и мы	3	2
158	истории и	1	2
159	в ином	1	2
160	чем в	4	2
161	место в	3	2
162	был не	1	2
163	в духовной	1	2
164	возвращается к	1	2
165	на земле	1	2
166	в то	16	2
167	в основе	1	2
168	того чтобы	6	2
169	от плоти	1	2
170	плоть от	1	2
171	по своей	2	2
172	в каком	4	2
173	когда мы	1	2
174	есть только	1	2
175	могут быть	2	2
176	всего в	2	2
177	ко второй	1	2
178	он мог	1	2
179	от крови	1	2
180	и от	3	2
181	то время	1	2
182	и что	2	2
183	различие между	1	2
184	и когда	1	2
185	еще в	1	2
186	по сравнению	2	2
187	с ним	1	2
188	о том	3	2
189	может не	1	2
190	с разных	1	2
191	и кровь	1	2
192	и во	2	2
193	и те	1	2
194	мы видим	2	2
195	начало в	2	2
196	жизни и	2	2
197	так называемый	1	2
198	пределы и	1	2
199	его мысль	1	2
200	как будто	2	2
201	для того	6	2
202	в свой	1	2
203	во власти	2	2
204	связано с	3	2
205	света и	1	2
206	на этот	2	2
207	человеческой жизни	1	2
208	долгое время	2	2
209	по своему	7	2
210	в той	5	2
211	как бы	6	2
212	том смысле	1	2
213	него не	1	2
214	в начале	1	2
215	в более	1	2
216	и для	3	2
217	она может	1	2
218	бы в	2	2
219	отношении к	15	2
220	жизни в	3	2
221	в свою	3	2
222	сказать что	4	2
223	к этой	1	2
224	все что	1	2
225	себя как	1	1
226	ту же	1	1
227	также что	1	1
228	и т	1	1
229	сплошь и	2	1
230	и то	2	1
231	реалистической и	1	1
232	он обращен	1	1
233	стихии с	1	1
234	и до	1	1
