N	3gram	Propp_Isto_2	VrazhdaK
1	в связи с	4	3
2	не может быть	2	2
3	в том что	5	2
4	его в том	1	1
5	это время он	1	1
6	что это за	2	1
7	до сих пор	6	1
8	они не совсем	1	1
9	в третий раз	2	1
10	об этом говорят	1	1
11	в родстве с	1	1
12	но это не	1	1
13	точно так же	6	1
14	за что же	1	1
15	в другой раз	2	1
16	во время сна	1	1
17	в это время	1	1
18	о том как	1	1
19	так же как	4	1
20	в себе силы	1	1
21	в высшей степени	1	1
22	ответ на это	1	1
23	и то же	1	1
24	что у него	1	1
25	с другой стороны	2	1
26	и в котором	1	1
27	связи с этим	1	1
28	тем не менее	1	1
29	но об этом	1	1
30	не все ясно	1	1
31	это и есть	1	1
32	о том что	2	1
33	не только не	1	1
34	на то что	2	1
35	к себе не	1	1
36	не вдаваясь в	2	1
