N	4gram	Propp_Russ_1	Istorich
1	в тех случаях когда	1	3
2	но тем не менее	2	2
3	один из самых распространенных	1	1
4	а не кто-нибудь другой	1	1
5	не только у греков	1	1
6	выводы можно сделать из	2	1
7	точно так же в	1	1
8	как мы уже знаем	1	1
9	и т д и	1	1
10	т д т е	1	1
11	одна и та же	1	1
12	все же она не	1	1
13	говорит о том что	1	1
14	так же как и	1	1
15	состоит в том что	8	1
16	но все же она	1	1
17	и у других народов	1	1
18	ниже мы увидим что	1	1
19	вместе с тем и	2	1
20	и т д т	1	1
21	как мы увидим ниже	1	1
22	это не совсем так	1	1
