N	3gram	Losev_Vesc_1	KFilosof
1	не может быть	6	11
2	с точки зрения	3	10
3	может быть только	3	6
4	в данный момент	1	3
5	в современной философии	1	3
6	но и здесь	1	3
7	это не есть	1	3
8	со стороны ее	1	2
9	в то же	1	2
10	вопрос о том	1	2
11	а не я	2	2
12	бы то ни	4	2
13	это значило бы	2	2
14	вовсе не есть	6	2
15	и все эти	1	2
16	в том что	4	2
17	к себе как	2	2
18	она могла бы	2	2
19	то что я	2	2
20	тем не менее	3	2
21	то ни было	4	2
22	мы не можем	1	1
23	быть и могло	1	1
24	ли это что	3	1
25	они находятся в	1	1
26	между прочим и	1	1
27	и это будет	1	1
28	со всем что	1	1
29	оба эти момента	1	1
30	по себе а	1	1
31	только тогда когда	2	1
32	как раз ведь	1	1
33	в одном случае	1	1
34	и во всех	1	1
35	в его существе	1	1
36	не в смысле	1	1
37	и не в	1	1
38	того что в	1	1
39	а следовательно и	1	1
40	в движении в	1	1
41	значит ли это	4	1
42	и не потому	1	1
43	когда мы говорим	1	1
44	по самому своему	1	1
45	не содержит в	1	1
46	не потому что	4	1
47	уже не будет	3	1
48	что я заговорил	1	1
49	равно как и	2	1
50	не есть еще	2	1
51	для того чтобы	2	1
52	на то что	2	1
53	можно пройти мимо	1	1
54	хотя бы только	1	1
55	что и в	1	1
56	в себе в	2	1
57	но можно ли	1	1
58	могла бы и	1	1
59	к тому что	2	1
60	и того же	1	1
61	если бы я	2	1
62	независимо от того	1	1
63	вмещает в себя	1	1
64	то же самое	1	1
65	и как бы	1	1
66	имеют в виду	1	1
67	само по себе	1	1
68	а только в	1	1
69	кем-нибудь или не	1	1
70	и то что	3	1
71	в то или	1	1
72	ничем не отличаются	1	1
73	значило бы что	2	1
74	в том смысле	1	1
75	и тем не	1	1
76	мы будем говорить	1	1
77	во всяком случае	2	1
78	не значит что	1	1
79	в жизни в	1	1
80	принципиально не может	1	1
81	в основе своей	2	1
82	одного и того	1	1
83	с тем или	1	1
84	где она могла	2	1
85	с ним и	1	1
86	а не к	1	1
87	я позволю себе	1	1
88	раз ведь и	1	1
89	значит что я	4	1
90	что я буду	1	1
91	себя в своем	1	1
92	в зависимости от	1	1
93	в нем нет	1	1
94	себе как к	2	1
95	ясно что это	1	1
96	она может быть	2	1
97	ясно отсюда что	1	1
98	себя в бытии	1	1
99	и говорить о	1	1
100	как бы ни	2	1
101	не есть просто	4	1
102	дело в том	2	1
103	самому своему смыслу	1	1
104	вместе с тем	1	1
105	имеет смысл и	1	1
106	не в том	1	1
107	в первом случае	2	1
108	что я должен	2	1
109	ту или иную	2	1
110	не может не	1	1
111	если мы возьмем	2	1
112	это не будет	1	1
113	это не значит	1	1
114	в свою очередь	4	1
