N	2gram	Medvedev_I_1	StatiiOP
1	и в	1	29
2	в этом	2	21
3	что в	2	19
4	все это	1	11
5	он не	2	9
6	пушкина и	1	9
7	так и	1	9
8	и не	2	9
9	по поводу	1	8
10	я не	1	7
11	для того	1	7
12	того чтобы	1	6
13	того что	1	5
14	и с	3	4
15	ничего не	2	4
16	и о	1	4
17	для него	1	4
18	с другой	1	4
19	в эту	1	3
20	никогда не	1	3
21	тем что	1	3
22	неудивительно что	1	3
23	а с	1	3
24	другой стороны	1	3
25	другое дело	1	3
26	того же	1	2
27	все эти	1	2
28	если бы	1	2
29	не дает	1	2
30	это было	1	2
31	доказать что	1	2
32	и сам	1	2
33	во многом	1	2
34	а также	1	2
35	в значительной	1	2
36	у всех	1	2
37	очевидно что	1	2
38	в них	1	2
39	и др	1	2
40	по существу	1	2
41	это был	1	2
42	только что	1	2
43	с жизнью	1	1
44	жил в	1	1
45	бы что	2	1
46	говорить о	1	1
47	что роман	1	1
48	по отношению	1	1
49	более чем	1	1
50	и тот	1	1
51	и еще	1	1
52	в первую	1	1
53	а по	1	1
54	первую очередь	1	1
55	знать и	1	1
56	творчества пушкина	1	1
57	вплоть до	1	1
58	и очень	1	1
59	было не	1	1
60	в основе	1	1
61	он с	1	1
62	и без	1	1
63	что при	1	1
64	не так	1	1
65	знакомство с	1	1
66	литература о	1	1
67	такая мелочь	1	1
68	не случайно	1	1
69	могло бы	1	1
70	а в	1	1
71	на памяти	1	1
72	в руки	1	1
73	и создавал	1	1
74	что для	1	1
75	то и	1	1
76	самого себя	2	1
77	бы его	1	1
78	нисколько не	1	1
79	бы в	1	1
80	отношению к	1	1
81	жизни и	1	1
