N	2gram	Losev_Prob_3	Sotsiolo
1	истории литературы	1	10
2	все это	5	7
3	в том	21	5
4	в этом	17	5
5	и только	6	3
6	для нас	16	3
7	не только	14	3
8	и в	44	3
9	но ведь	1	3
10	не в	13	3
11	в его	9	3
12	за пределы	5	2
13	как только	3	2
14	но и	10	2
15	конце концов	3	2
16	было бы	8	2
17	она может	2	2
18	исторического развития	1	2
19	должна быть	1	2
20	только в	19	2
21	дело не	2	2
22	далеко не	1	2
23	в результате	2	2
24	тем более	3	2
25	том что	12	2
26	в частности	2	2
27	как будто	3	2
28	то что	23	2
29	или даже	5	2
30	и что	7	2
31	литературы и	2	2
32	еще не	5	2
33	только как	1	2
34	заключается что	1	2
35	таким образом	9	2
36	это и	7	2
37	в конце	5	2
38	что в	8	2
39	может быть	28	2
40	как бы	9	2
41	и заключается	1	2
42	по существу	2	2
43	то же	13	2
44	друг от	2	1
45	крайней мере	5	1
46	что все	2	1
47	же не	2	1
48	быть не	1	1
49	по себе	25	1
50	даже в	1	1
51	сама по	8	1
52	так называемым	1	1
53	сказать и	1	1
54	в этой	3	1
55	тому что	4	1
56	индивидуальность и	1	1
57	отнюдь не	10	1
58	более не	1	1
59	даже не	2	1
60	с другой	7	1
61	его в	3	1
62	дает нам	2	1
63	только для	1	1
64	ровно ничего	2	1
65	с ним	7	1
66	это не	9	1
67	на этот	4	1
68	именно в	2	1
69	в чем	4	1
70	они ни	1	1
71	все же	6	1
72	и есть	5	1
73	перед нами	8	1
74	в то	9	1
75	хотелось бы	1	1
76	мысли в	1	1
77	тем же	2	1
78	еще и	7	1
79	только то	2	1
80	а с	2	1
81	том как	2	1
82	тем что	4	1
83	и как	3	1
84	в процессе	2	1
85	что эти	1	1
86	что он	9	1
87	прежде всего	3	1
88	бы он	1	1
89	слова но	1	1
90	произведение как	1	1
91	в них	1	1
92	так и	10	1
93	не было	5	1
94	одной стороны	1	1
95	но только	6	1
96	и не	35	1
97	это вовсе	4	1
98	из себя	3	1
99	никогда не	6	1
100	на основании	2	1
101	зависит от	1	1
102	именно такого	1	1
103	мы не	7	1
104	трудно представить	1	1
105	это как	1	1
106	со своими	1	1
107	ничего не	3	1
108	как то	1	1
109	между собою	2	1
110	мы еще	1	1
111	и самым	1	1
112	не мешает	3	1
113	и о	5	1
114	связь между	1	1
115	все эти	7	1
116	это же	3	1
117	обходится без	1	1
118	далеко еще	1	1
119	как и	10	1
120	между собой	1	1
121	бы в	2	1
122	без этого	1	1
123	для этого	6	1
124	в настоящее	2	1
125	мы должны	7	1
126	первый план	2	1
127	остается в	1	1
128	в таких	3	1
129	литературоведении и	1	1
130	благодаря тому	1	1
131	пришлось бы	1	1
132	вот в	1	1
133	образом в	1	1
134	в связи	7	1
135	в те	1	1
136	на первый	4	1
137	иначе и	1	1
138	и его	5	1
139	в этих	2	1
140	связи с	8	1
141	от друга	2	1
142	или не	1	1
143	хотя бы	3	1
144	в целом	6	1
145	не может	7	1
146	в своей	5	1
147	только тогда	2	1
148	а в	5	1
149	благодаря этому	1	1
150	что она	1	1
151	о том	6	1
152	и потому	7	1
153	настоящее время	2	1
154	в него	1	1
155	факта что	1	1
156	но именно	2	1
157	в котором	2	1
158	никак не	9	1
159	и благодаря	1	1
160	существу своему	1	1
161	данном стихотворении	1	1
162	представляется нам	1	1
163	всяком случае	6	1
164	собой не	1	1
165	метода как	1	1
166	точно разграничить	1	1
167	когда мы	15	1
168	мы понимаем	1	1
169	он говорит	1	1
170	ни на	3	1
171	что это	3	1
172	вовсе не	37	1
173	новое и	1	1
174	но сам	1	1
175	на отдельные	2	1
176	система не	1	1
177	же самое	9	1
178	с одной	2	1
179	в заключение	3	1
180	но не	3	1
181	у него	1	1
182	наше дело	1	1
183	в виде	6	1
184	этого и	1	1
185	в данном	9	1
186	потому его	1	1
187	но как	4	1
188	и по	2	1
189	и им	1	1
190	что на	1	1
191	процессе живого	1	1
192	и человеком	1	1
193	по крайней	5	1
194	бы о	2	1
195	и более	2	1
196	том и	1	1
197	во всяком	9	1
198	и будет	2	1
199	бы они	1	1
200	они не	1	1
201	это значит	4	1
