N	4gram	Bakhtin_Fr_6	EvropaiE
1	в то же время	5	14
2	с одной стороны и	2	6
3	в той или иной	1	3
4	можно сказать что в	1	2
5	но в то же	1	2
6	заключается в том что	1	2
7	дело в том что	1	1
8	с другой стороны в	1	1
9	одного и того же	1	1
10	и кровь от крови	1	1
11	один и тот же	1	1
12	и примыкающих к ним	1	1
13	плоть от плоти и	1	1
14	плоти и кровь от	1	1
15	и до настоящего времени	1	1
16	в большей или меньшей	2	1
17	от плоти и кровь	1	1
18	имеют существенное значение в	1	1
19	большей или меньшей степени	2	1
