N	2gram	Tiupa_Lite_3	Psycholo
1	и в	16	38
2	то что	12	35
3	все время	3	30
4	в самом	3	25
5	в том	12	25
6	самом деле	3	21
7	что в	2	20
8	может быть	12	19
9	точки зрения	7	16
10	на то	2	16
11	то есть	5	15
12	в ней	1	15
13	потому что	3	14
14	и т	1	14
15	если бы	2	14
16	как бы	8	14
17	том что	8	14
18	в этом	14	13
19	в этой	8	13
20	не только	14	12
21	не в	10	12
22	было бы	2	12
23	что он	5	11
24	и не	22	10
25	и все	1	10
26	то же	9	10
27	же самое	2	10
28	о которых	1	9
29	в двух	1	9
30	того чтобы	2	9
31	с точки	3	9
32	и как	3	8
33	все же	2	8
34	для нас	1	8
35	вовсе не	1	8
36	так что	1	8
37	как раз	2	8
38	с тем	1	8
39	в одном	4	8
40	как и	5	8
41	из этого	1	8
42	с этим	1	8
43	для того	2	8
44	перед нами	1	8
45	и то	1	8
46	с другой	6	7
47	не может	8	7
48	между тем	3	7
49	как мы	2	7
50	что у	2	7
51	мы уже	1	7
52	в ее	5	7
53	а в	5	7
54	а не	12	7
55	там где	3	6
56	как это	3	6
57	с и	1	6
58	с одной	4	6
59	к тому	6	6
60	не имеет	1	6
61	и его	6	6
62	один из	2	6
63	в котором	1	6
64	тому что	1	6
65	о том	6	6
66	и на	2	6
67	и если	4	6
68	она не	1	6
69	из них	4	6
70	так как	1	6
71	он не	1	6
72	в другом	6	5
73	о котором	1	5
74	одной стороны	4	5
75	в своей	7	5
76	время в	2	5
77	вместе с	5	5
78	совершенно не	3	5
79	в той	1	5
80	могли бы	2	5
81	но и	14	5
82	другой стороны	2	5
83	так сказать	1	5
84	в его	6	5
85	несмотря на	2	5
86	я не	2	5
87	т п	1	5
88	в своем	1	5
89	в себе	6	4
90	в целом	5	4
91	что они	1	4
92	при этом	15	4
93	и для	4	4
94	в нас	2	4
95	в нем	2	4
96	во всех	2	4
97	раз в	2	4
98	здесь мы	1	4
99	того что	9	4
100	никогда не	4	4
101	и даже	2	4
102	как в	5	4
103	ее в	2	4
104	сказать что	1	4
105	как будто	4	4
106	только в	7	4
107	который не	1	4
108	что эти	1	4
109	у него	1	4
110	когда он	2	4
111	что и	2	4
112	мы все	1	4
113	идет о	1	4
114	обратиться к	1	4
115	в своих	2	4
116	конечно не	1	4
117	в виду	1	4
118	она была	1	4
119	в свою	2	4
