N	2gram	Vinokur_Ku_1	Stilisti
1	и в	24	42
2	не только	10	27
3	как бы	7	27
4	прежде всего	9	22
5	хотя бы	10	17
6	то же	8	15
7	но и	6	15
8	социального общения	3	14
9	и не	12	14
10	не может	7	12
11	может быть	13	12
12	как и	2	11
13	точки зрения	14	11
14	отнюдь не	1	10
15	в этом	14	10
16	и как	2	10
17	как мы	1	10
18	что мы	1	10
19	при этом	6	9
20	в то	2	9
21	для того	16	9
22	то что	9	9
23	в ней	6	8
24	все же	12	8
25	в себе	3	8
26	таким образом	12	8
27	тем самым	4	8
28	с тем	5	8
29	эти слова	1	8
30	что же	6	8
31	в зависимости	5	7
32	зависимости от	6	7
33	и на	4	7
34	в которой	6	7
35	было бы	15	7
36	и тем	2	7
37	так как	9	7
38	никогда не	2	7
39	же время	2	7
40	потому что	23	7
41	того чтобы	17	7
42	ничего не	2	7
43	данной ситуации	1	7
44	с его	4	7
45	слов и	1	7
46	только в	11	7
47	и его	5	7
48	мы можем	1	7
49	а не	8	7
50	и от	1	7
51	во всех	1	6
52	точку зрения	1	6
53	в этой	3	6
54	но ведь	2	6
55	на его	3	6
56	в нем	4	6
57	не в	11	6
58	в процессе	1	6
59	в области	7	6
60	когда мы	2	6
61	так и	7	6
62	язык и	1	6
63	в форме	1	6
64	язык в	5	6
65	и так	1	6
66	в конце	1	6
67	или иной	3	6
68	речи и	5	6
69	в свою	3	6
70	той же	3	5
71	уже в	3	5
72	в нашем	1	5
73	что язык	7	5
74	в той	5	5
75	одно и	1	5
76	и с	5	5
77	того или	4	5
78	мы видели	1	5
79	с точки	9	5
80	тому что	3	5
81	в сознании	1	5
82	а в	5	5
83	не является	2	5
84	в его	12	5
85	и следовательно	1	5
86	и является	4	5
87	и их	1	5
88	слова в	1	5
89	с помощью	7	5
90	вместе с	7	5
91	как это	3	5
92	слова и	4	5
93	своей жизни	1	5
94	или иного	3	5
95	если б	2	4
96	и то	3	4
97	самом деле	9	4
98	мы называем	1	4
99	слово не	1	4
100	себя в	1	4
101	что именно	1	4
102	но в	2	4
103	в самом	10	4
104	что это	5	4
105	так сказать	5	4
