N	2gram	Medvedev_S_1	Dialekti
1	и не	1	27
2	и в	3	24
3	это значит	1	24
4	не только	3	23
5	по себе	1	20
6	не может	1	19
7	ничего не	1	17
8	и есть	1	16
9	и что	2	15
10	что все	1	14
11	то что	2	14
12	таким образом	2	13
13	что он	1	13
14	вовсе не	1	13
15	может быть	2	13
16	что это	1	12
17	в сущности	1	10
18	отнюдь не	1	10
19	что она	1	9
20	стало быть	1	9
21	но и	2	9
22	в этом	5	8
23	и как	1	8
24	в виде	1	8
25	прежде всего	1	8
26	том что	2	8
27	это и	2	7
28	как и	1	7
29	никогда не	1	7
30	что в	2	7
31	должна быть	2	6
32	то же	2	6
33	и только	3	6
34	о том	1	6
35	даже не	1	6
36	все это	7	6
37	по крайней	1	5
38	так и	1	5
39	было бы	2	5
40	в них	1	5
41	мы не	1	5
42	в том	5	5
43	в то	1	5
44	и его	1	5
45	только в	2	5
46	крайней мере	1	5
47	как же	3	5
48	или не	1	5
49	или нет	1	5
50	только как	2	5
51	первый план	1	4
52	в чем	1	4
53	сама по	1	4
54	конечно не	1	4
55	это не	1	4
56	на первый	1	4
57	тому что	1	4
58	но только	1	4
59	с другой	1	4
60	где же	1	4
61	хотя бы	1	4
62	диалектический материализм	2	3
63	за пределы	2	3
64	границы и	1	3
65	только тогда	1	3
66	все же	1	3
67	перед нами	1	3
68	все эти	1	3
69	тем более	2	3
70	в силу	1	3
71	не значат	1	3
72	не в	3	3
73	но она	1	3
74	же время	1	3
75	ровно ничего	1	3
76	и о	1	3
77	не наука	1	3
78	это же	1	3
79	с одной	1	3
80	тем что	1	3
81	не было	1	3
82	ни на	1	3
83	одной стороны	1	3
84	как бы	2	3
85	я и	1	2
86	в частности	2	2
87	еще не	2	2
88	но не	1	2
89	и по	1	2
90	на основании	1	2
91	всяком случае	1	2
92	тогда и	1	2
93	когда мы	1	2
94	более не	1	2
95	на что	1	2
96	для этого	1	2
97	никак не	1	2
98	в его	3	2
99	не мешает	1	2
100	ведь это	2	2
101	у него	1	2
102	именно в	1	2
103	еще и	1	2
104	зависит от	1	2
105	но как	1	2
106	и потому	1	2
107	в данном	1	2
108	по существу	2	2
109	быть не	1	2
110	в смысле	2	2
111	она должна	1	2
112	для нас	3	2
113	из себя	1	2
114	бы в	1	2
115	а в	1	2
116	они не	1	2
117	во всяком	1	2
118	что эти	1	1
119	выдвигает на	1	1
120	и понимает	1	1
121	сказать и	1	1
122	конечном счете	1	1
123	и будет	1	1
124	в свои	1	1
125	метод и	2	1
126	виде задания	1	1
127	кто не	1	1
128	и наконец	1	1
129	как то	1	1
130	право на	1	1
131	но ведь	3	1
132	по самому	1	1
133	он ни	1	1
134	существу своему	1	1
135	же это	1	1
136	на точке	1	1
137	и стало	1	1
138	в мире	1	1
139	его в	1	1
140	это вовсе	1	1
141	в него	1	1
142	далеко не	2	1
143	между собою	1	1
144	в котором	1	1
145	место в	1	1
146	как совокупность	1	1
147	не от	1	1
148	и более	1	1
149	даже в	1	1
150	это дает	1	1
151	дело не	2	1
152	связи с	1	1
153	что на	1	1
154	факта что	1	1
155	точке зрения	1	1
156	что т	1	1
157	все то	1	1
158	как только	2	1
159	же самое	1	1
160	тех кто	1	1
161	материализм в	1	1
162	диалектического материализма	1	1
163	ибо по	1	1
164	только то	1	1
165	и строить	1	1
166	с ним	1	1
167	против этого	1	1
168	не выходит	1	1
169	мы понимаем	1	1
170	в конечном	1	1
171	жизни он	1	1
172	эти два	1	1
173	тотчас же	1	1
174	наконец в	1	1
175	в лучшем	1	1
176	представляет и	1	1
177	метафизический дуализм	1	1
178	же теперь	1	1
179	его собственная	1	1
180	что данный	1	1
181	представить себе	1	1
182	в систему	1	1
183	но одно	1	1
184	в соответствующих	1	1
185	к которому	2	1
186	мы еще	1	1
187	на ней	1	1
188	между ними	1	1
189	в связи	1	1
190	в область	1	1
191	научной мысли	1	1
192	его собственные	1	1
193	не умея	1	1
194	лучшем случае	1	1
195	объекта и	1	1
196	в результате	2	1
197	в этих	1	1
198	мы переходим	1	1
199	в процессе	1	1
