N	3gram	Bakhtin_Pr_5	NovoeSre
1	в высшей степени	3	6
2	не может быть	3	4
3	подобно тому как	2	3
4	со всех сторон	1	3
5	лицом к лицу	1	3
6	в этом смысле	3	2
7	он не может	3	2
8	что в нем	1	2
9	в нем нет	1	2
10	вместе с тем	1	2
11	с другой стороны	3	2
12	вопрос о том	1	2
13	в том и	1	2
14	и того же	1	1
15	а не в	1	1
16	то время как	1	1
17	одного и того	1	1
18	до сих пор	1	1
19	и не может	2	1
20	для себя и	1	1
21	в себе всякое	1	1
22	что он может	1	1
23	в отличие от	2	1
24	должно было быть	1	1
25	заключает в себе	1	1
26	можно было бы	2	1
27	к дурной бесконечности	1	1
28	и не в	2	1
29	и стремится к	1	1
30	мысли но в	1	1
31	но она не	1	1
32	как будто бы	1	1
33	к одному из	1	1
34	в такой же	2	1
35	то что он	1	1
36	в нем не	1	1
37	это конечно не	1	1
38	во всяком случае	4	1
39	я не могу	1	1
40	о том что	1	1
41	в то время	1	1
42	и для другого	1	1
43	ни в чем	1	1
44	то что в	1	1
45	и пр в	1	1
46	в значительной степени	1	1
47	но для этого	1	1
48	и вместе с	1	1
49	не в силах	2	1
50	в этом я	1	1
51	в большинстве случаев	2	1
52	в том что	2	1
53	как и в	1	1
54	прежде всего как	1	1
