N	2gram	Medvedev_S_1	Analitik
1	не только	3	22
2	и в	3	18
3	как и	1	14
4	так и	1	14
5	в этом	5	14
6	и его	1	13
7	но и	2	13
8	том что	2	12
9	и не	1	12
10	в частности	2	12
11	а в	1	10
12	как бы	2	10
13	что в	2	9
14	может быть	2	9
15	в том	5	9
16	по отношению	2	7
17	в его	3	7
18	с другой	1	7
19	но не	1	7
20	отношению к	2	7
21	еще не	2	6
22	в этой	1	6
23	не в	3	6
24	о том	1	6
25	в мире	1	5
26	в сущности	1	5
27	между тем	1	5
28	в конце	2	5
29	никогда не	1	5
30	прежде всего	1	5
31	в результате	2	5
32	столь же	1	4
33	что он	1	4
34	отнюдь не	1	4
35	и как	1	4
36	таким образом	2	4
37	по себе	1	4
38	ли не	1	4
39	крайней мере	1	4
40	далеко не	2	4
41	по крайней	1	4
42	в данном	1	4
43	все же	1	4
44	перед нами	1	4
45	я и	1	3
46	мы не	1	3
47	в целом	1	3
48	но как	1	3
49	то же	2	3
50	в каждом	1	3
51	его в	1	3
52	все это	7	3
53	в то	1	3
54	дело не	2	3
55	ничего не	1	3
56	же время	1	3
57	именно в	1	3
58	было бы	2	3
59	еще и	1	3
60	не было	1	3
61	вступает в	1	3
62	не от	1	2
63	ними в	1	2
64	конечном счете	1	2
65	очевидно что	2	2
66	это и	2	2
67	сама по	1	2
68	более чем	3	2
69	все эти	1	2
70	что она	1	2
71	и по	1	2
72	это не	1	2
73	а вот	1	2
74	в них	1	2
75	иначе говоря	1	2
76	даже в	1	2
77	представляется нам	1	2
78	те же	1	2
79	в конечном	1	2
80	один из	1	2
81	только в	2	2
82	с одной	1	2
83	но сам	1	2
84	всяком случае	1	2
85	тем что	1	2
86	это по	1	2
87	одной стороны	1	2
88	не может	1	2
89	и потому	1	2
90	когда мы	1	2
91	то что	2	2
92	во всяком	1	2
93	могло и	1	1
94	а между	1	1
95	и есть	1	1
96	тем же	1	1
97	себе чтобы	1	1
98	ввести в	2	1
99	никак не	1	1
100	не способен	1	1
101	между собой	1	1
102	время в	1	1
103	друг от	1	1
104	за пределы	2	1
105	вне пределов	1	1
106	как то	1	1
107	в силу	1	1
108	будто в	1	1
109	из круга	1	1
110	остается в	1	1
111	в своей	1	1
112	право на	1	1
113	место в	1	1
114	далеки от	1	1
115	жанр как	1	1
116	для этого	1	1
117	ни были	1	1
118	с ним	1	1
119	к изучению	1	1
120	у него	1	1
121	связи с	1	1
122	как будто	2	1
123	бы он	1	1
124	и о	1	1
125	от друга	1	1
126	по природе	2	1
127	образом в	1	1
128	и должно	1	1
129	мы понимаем	1	1
130	должно было	1	1
131	связь между	1	1
132	и только	3	1
133	тем более	2	1
134	к субъекту	1	1
135	литературе и	1	1
136	или даже	2	1
137	ведь это	2	1
138	вовсе не	1	1
139	границы и	1	1
140	что на	1	1
141	к которому	2	1
142	наконец в	1	1
143	а с	1	1
144	и затем	1	1
145	зависит от	1	1
146	на этот	1	1
147	с помощью	1	1
148	в область	1	1
149	объекта и	1	1
150	в связи	1	1
151	именно такого	1	1
152	бы в	1	1
153	мы должны	1	1
154	хотя бы	1	1
155	между ними	1	1
156	только как	2	1
157	они не	1	1
