N	3gram	Bakhtin_sl_2	Psycholo
1	для того чтобы	2	19
2	в том что	4	12
3	все то что	1	11
4	о том что	1	10
5	на то что	1	6
6	с самого начала	1	5
7	и может быть	1	4
8	с точки зрения	3	4
9	что он не	1	4
10	том что он	1	3
11	сами по себе	1	3
12	не для того	1	3
13	во всяком случае	2	3
14	и т п	33	3
15	до сих пор	2	3
16	с одной стороны	5	3
17	сама по себе	3	3
18	в какой мере	1	2
19	во всех этих	1	2
20	во всей ее	1	2
21	но может быть	1	2
22	он знает что	1	2
23	с другой стороны	1	2
24	именно в том	1	2
25	таким образом в	1	2
26	в нем нет	1	2
27	не только не	1	2
28	речь идет о	1	2
29	новый смысл и	1	2
30	и т д	2	2
31	том что она	1	1
32	и в сущности	2	1
33	иметь дело с	2	1
34	мы уже говорили	1	1
35	до конца во	1	1
36	а не в	1	1
37	по отношению к	4	1
38	на этом фоне	1	1
39	также и в	1	1
40	что не может	1	1
41	мы не можем	1	1
42	с другим как	1	1
43	в той же	1	1
44	до некоторой степени	1	1
45	то же время	4	1
46	и не может	1	1
47	самого по себе	1	1
48	со всех сторон	1	1
49	при каких условиях	1	1
50	у него нет	2	1
51	о нем он	1	1
52	свой смысл и	1	1
53	самого начала стоит	1	1
54	все они строятся	1	1
55	между материалом и	2	1
56	до конца и	1	1
57	приходится иметь дело	2	1
58	тот факт что	2	1
59	и в то	1	1
60	того чтобы увидеть	1	1
61	а также и	2	1
62	как это возможно	1	1
63	материал и в	1	1
64	этой цели и	1	1
65	с ним и	1	1
66	в свою очередь	2	1
67	друг к другу	1	1
68	прямо сказать что	2	1
69	лежащий в основе	1	1
70	в точном смысле	2	1
71	истории литературы и	1	1
72	для правильного понимания	1	1
73	а не только	1	1
74	в целом ряде	1	1
75	в нем есть	1	1
76	что говорят о	1	1
77	может не только	1	1
78	вместе с ним	1	1
79	не может быть	15	1
80	вовсе не в	1	1
81	в двух планах	1	1
82	только одна из	1	1
83	те или иные	1	1
84	в истории литературы	2	1
85	тем и другим	1	1
86	эти разговоры о	1	1
87	были даны в	1	1
88	не только в	2	1
89	в евгении онегине	1	1
90	в то же	4	1
91	как мы уже	2	1
92	это как бы	1	1
93	героя и его	1	1
94	в средние века	1	1
95	но в этом	1	1
96	все это требует	1	1
97	не до конца	1	1
98	мы увидим что	1	1
99	она не может	1	1
