N	3gram	Tiupa_Anal_2	Poddanst
1	в то же	2	7
2	то же время	2	7
3	в отношении к	1	5
4	не только в	2	4
5	в том что	6	4
6	с точки зрения	2	3
7	сами по себе	1	3
8	с одной стороны	4	3
9	но и в	1	2
10	и если бы	1	2
11	в полной мере	1	2
12	заключается в том	1	2
13	а ц и	2	2
14	л и з	2	1
15	более или менее	1	1
16	в этом смысле	2	1
17	начала и конца	1	1
18	и в этом	4	1
19	хотя бы и	1	1
20	в отличие от	2	1
21	о с с	1	1
22	и то что	2	1
23	в применении к	1	1
24	с другой стороны	2	1
25	не может быть	1	1
26	р и т	1	1
27	в борьбе с	2	1
28	и тем самым	2	1
29	а л и	2	1
30	и к а	2	1
31	в частности в	2	1
32	к а л	1	1
33	общественной и частной	1	1
34	друг с другом	1	1
35	в известном смысле	1	1
36	на наш взгляд	1	1
