N	3gram	Vinokur_St_3	Poddanst
1	в то же	3	7
2	то же время	3	7
3	не только в	3	4
4	в том что	11	4
5	с точки зрения	4	3
6	с одной стороны	2	3
7	и к л	1	2
8	но и в	2	2
9	и если бы	1	2
10	в значительной мере	1	2
11	заключается в том	2	2
12	в том виде	1	1
13	нет никакого сомнения	1	1
14	собою как бы	1	1
15	более или менее	1	1
16	в этом смысле	4	1
17	и с этим	1	1
18	и в качестве	1	1
19	и в этом	2	1
20	в эту эпоху	2	1
21	тот или иной	1	1
22	в собственном смысле	1	1
23	вместе с тем	1	1
24	и пр в	2	1
25	и в частности	1	1
26	в применении к	1	1
27	было бы неправильно	1	1
28	только в виде	2	1
29	не в том	3	1
30	во всяком случае	4	1
31	с другой стороны	4	1
32	в каком смысле	2	1
33	не может быть	5	1
34	что из всех	1	1
35	тем более что	2	1
36	можно судить по	1	1
37	на пути к	1	1
38	во многих случаях	1	1
39	в известном смысле	1	1
40	для того чтобы	1	1
41	и т д	2	1
