N	2gram	Propp_Isto_6	EvropaiC
1	таким образом	12	32
2	в том	12	31
3	и в	26	24
4	том что	10	20
5	все эти	8	19
6	не может	6	18
7	то что	6	17
8	может быть	11	15
9	народа в	1	15
10	все же	8	15
11	точки зрения	1	13
12	в своем	2	12
13	до сих	4	12
14	в этом	12	12
15	сих пор	4	12
16	с этим	2	11
17	между тем	1	11
18	все это	1	11
19	во всех	1	10
20	по отношению	2	10
21	так и	5	10
22	из себя	1	10
23	мы знаем	2	10
24	как бы	4	10
25	отношению к	2	10
26	все что	4	10
27	того же	2	9
28	на то	2	9
29	при этом	3	9
30	как и	5	9
31	с другом	1	9
32	друг с	1	9
33	что в	12	9
34	знаем что	2	8
35	не в	3	8
36	ясно что	1	8
37	если бы	3	8
38	у народа	2	8
39	так же	2	8
40	из этих	4	7
41	в силу	1	7
42	о которых	1	7
43	или менее	1	7
44	не менее	1	7
45	по существу	1	7
46	того чтобы	1	7
47	по своей	1	7
48	к тому	2	7
49	для этого	1	7
50	о том	7	7
51	и что	5	7
52	что он	9	7
53	для того	1	7
54	но и	9	7
55	и не	10	7
56	более или	1	7
57	о котором	2	7
58	из этого	3	7
59	должна быть	3	6
60	еще не	9	6
61	и на	12	6
62	тогда как	2	6
63	что касается	2	6
64	в этой	2	6
65	в мире	1	6
66	несмотря на	1	6
67	и при	1	6
68	с ним	8	6
69	что и	4	6
70	того что	2	6
71	только в	5	6
72	так что	3	6
73	так как	18	6
74	мы можем	7	6
75	с другой	10	6
76	вместе с	8	6
77	отличается от	2	6
78	у них	4	6
79	как на	3	6
80	между двумя	1	5
81	основано на	1	5
82	и к	1	5
83	но в	7	5
84	ступени развития	1	5
85	что это	2	5
86	в целом	1	5
87	в себе	3	5
88	не только	10	5
89	и если	1	5
90	но все	2	5
91	не будет	5	5
92	что все	1	5
93	и с	6	5
94	на все	1	5
95	его в	5	5
96	что с	1	5
97	в то	5	5
98	как будто	3	5
99	что при	2	5
100	в его	5	5
101	потому что	13	5
102	у него	7	5
103	именно в	1	5
104	далеко не	3	5
105	другой стороны	8	5
106	быть и	1	5
107	и для	1	5
108	и от	3	5
109	лишь только	1	5
110	случае если	1	5
111	к этому	3	5
112	одним из	1	4
113	и то	3	4
114	то же	5	4
115	мы уже	6	4
116	та же	3	4
117	что его	1	4
118	отношение к	1	4
119	что как	1	4
120	хотя и	1	4
121	ни один	1	4
122	он не	2	4
123	в одну	1	4
124	оказывается что	1	4
125	выше мы	1	4
126	тем не	1	4
127	других народов	1	4
128	из которых	3	4
129	тех кто	1	4
130	и сейчас	2	4
131	никогда не	13	4
132	на вопрос	1	4
133	выше и	1	4
134	в народе	2	4
135	пор не	1	4
136	представление об	1	4
137	если мы	1	4
138	не есть	2	4
139	в виде	6	4
140	не так	2	4
141	в области	1	4
142	а с	2	4
143	социальной жизни	1	4
144	не могут	1	4
145	это есть	1	4
146	самого себя	2	4
147	этом случае	6	4
148	мы должны	2	4
149	состоит из	1	4
150	в таком	1	4
151	же как	3	3
152	вопрос о	3	3
153	не вполне	2	3
154	но даже	1	3
155	в данном	3	3
156	на вершине	1	3
157	которые не	1	3
158	в истории	1	3
159	целый ряд	2	3
160	и наконец	3	3
161	так или	1	3
162	в тех	3	3
163	это представление	12	3
164	в нем	8	3
165	на земле	4	3
166	и по	4	3
167	и может	1	3
168	на этой	2	3
169	чтобы все	1	3
170	это не	4	3
171	в жизни	1	3
172	с тем	4	3
173	чем в	1	3
174	в этих	2	3
175	что если	1	3
176	таким же	3	3
177	представление о	9	3
178	только те	1	3
179	даже в	2	3
180	образом в	1	3
181	для нас	2	3
182	уже и	1	3
183	от того	3	3
184	у нас	5	3
185	должны быть	2	3
186	что оно	4	3
187	и это	8	3
188	данном случае	3	3
189	жизнь и	1	3
190	с одной	7	3
191	очень много	1	3
192	при помощи	3	3
193	и других	3	3
194	может служить	1	3
195	отличие от	1	3
196	как у	2	3
197	или иначе	1	3
198	прежде всего	4	3
199	же не	2	3
200	в связи	1	3
201	сейчас же	1	3
202	случаях когда	3	3
203	ее и	1	3
204	от него	3	3
205	бы в	1	3
206	тем более	1	3
207	только что	2	3
208	а в	3	3
209	что мы	2	3
210	ту же	2	2
211	тех же	1	2
212	в котором	1	2
213	и до	2	2
214	что эти	2	2
215	также и	1	2
216	с ее	1	2
217	и ее	3	2
218	же что	1	2
219	в ней	5	2
220	во всяком	2	2
221	но как	4	2
222	заметим что	1	2
223	только тогда	1	2
224	совершенно ясно	4	2
225	вступают в	1	2
226	что они	2	2
227	из таких	1	2
228	есть в	1	2
229	и где	1	2
230	и там	6	2
231	может лежать	1	2
232	и те	2	2
233	если он	3	2
234	но на	1	2
235	этот процесс	1	2
236	что она	3	2
237	из него	2	2
238	а это	1	2
239	а затем	1	2
240	то есть	1	2
241	же образом	1	2
242	в них	3	2
243	нет в	3	2
244	мы видели	11	2
245	такой же	3	2
246	в один	1	2
247	на первый	3	2
248	в эту	2	2
249	но если	1	2
250	давно уже	1	2
251	никто не	2	2
252	на месте	1	2
253	можно ли	1	2
254	в которых	2	2
255	ответить на	1	2
256	образом и	2	2
257	и более	1	2
258	тому что	1	2
259	она не	3	2
260	тем самым	2	2
261	этими двумя	1	2
262	одна из	2	2
263	на него	2	2
264	в основе	1	2
265	что представление	1	2
266	этих двух	1	2
267	в противоречие	1	2
268	на этом	1	2
269	что на	1	2
270	от нее	2	2
271	должен быть	1	2
272	как мы	4	2
273	только при	1	2
274	чтобы быть	1	2
275	на том	8	2
276	и сам	2	2
277	что у	2	2
278	те же	1	2
279	народа от	1	2
280	случай с	2	2
281	все его	1	2
282	сводится к	2	2
283	в другом	1	2
284	и поэтому	1	2
285	другими словами	3	2
286	можно встретить	1	2
287	к нему	1	2
288	них в	1	2
289	было бы	2	2
290	показывают что	5	2
291	но так	3	2
292	но с	1	2
293	этот вопрос	1	2
294	между этими	1	2
295	жизни и	2	2
296	эти черты	1	2
297	то и	2	2
298	борьбы с	3	2
299	одно из	1	2
300	не будут	2	2
301	для него	1	2
302	всяком случае	2	2
303	вовсе не	2	2
304	к ним	1	2
305	и только	3	2
306	не было	3	2
307	и из	1	2
308	которые по	1	2
309	одной стороны	7	2
310	одну из	4	2
311	в одно	2	2
312	для этой	1	2
313	в частности	3	2
314	него в	2	2
315	независимо от	3	2
316	но не	2	2
317	эти примеры	1	2
318	что же	2	2
319	этого слова	1	2
320	только то	2	2
321	с этой	2	2
322	и некоторые	2	2
323	между прочим	1	2
324	приобщения к	1	2
325	но для	2	2
326	только мы	1	2
327	это может	1	2
328	на более	3	2
329	не от	1	2
330	с ними	2	2
331	между ними	1	2
332	не знает	1	2
333	в свою	1	2
334	что такие	1	2
335	что под	1	2
336	они не	3	2
337	например в	7	1
338	потом и	1	1
339	по адресу	1	1
340	на куски	1	1
341	а позднее	1	1
342	силы и	1	1
343	что когда	2	1
344	из его	2	1
345	оно было	1	1
346	все те	1	1
347	во-первых потому	1	1
348	в зависимости	1	1
349	долгое время	1	1
350	отношения к	1	1
351	а как	1	1
352	есть не	1	1
353	выше в	1	1
354	она имеет	2	1
355	мы не	6	1
356	что между	4	1
357	которую мы	1	1
358	на место	3	1
359	имеет свою	1	1
360	этом не	1	1
361	более точного	1	1
362	время как	3	1
363	первобытных народов	2	1
364	похожи на	1	1
365	нас но	1	1
366	образом оказывается	1	1
367	зависимости от	2	1
368	большей частью	2	1
369	к своему	3	1
370	на них	1	1
371	иное как	1	1
372	так если	1	1
373	с его	4	1
374	только после	1	1
375	но тогда	1	1
376	лежать на	1	1
377	и другие	3	1
378	друг на	1	1
379	со стороны	3	1
380	по другим	1	1
381	и свои	2	1
382	для борьбы	2	1
383	иной вид	1	1
384	первый взгляд	1	1
385	как в	6	1
386	что именно	1	1
387	продолжали существовать	1	1
388	помнить что	1	1
389	однако не	1	1
390	перед нами	2	1
391	кроме того	3	1
392	у народов	6	1
393	тех случаях	3	1
394	и как	2	1
395	его к	1	1
396	есть ли	1	1
397	и хотя	2	1
398	в этот	1	1
399	развития это	1	1
400	живут в	1	1
401	а во-вторых	1	1
402	бы с	1	1
403	применительно к	1	1
404	он в	1	1
405	еще далеко	1	1
406	вид и	1	1
407	она-то и	1	1
408	действительно становится	1	1
409	на его	4	1
410	видит и	1	1
411	задний план	1	1
412	главным образом	3	1
413	после этого	4	1
414	раз когда	1	1
415	от которого	1	1
416	зависит не	1	1
417	к одному	1	1
418	и вот	3	1
419	смертью в	1	1
420	но вместе	1	1
421	людей и	2	1
422	одно и	1	1
423	людей которые	1	1
424	других видов	1	1
425	здесь мы	4	1
426	несколько иной	1	1
427	знает что	1	1
