N	3gram	Medvedev_U_1	StatiiOP
1	в том что	2	17
2	до сих пор	2	7
3	в этом отношении	2	7
4	в данном случае	1	6
5	с другой стороны	3	6
6	в самом деле	2	5
7	в этой области	3	5
8	не может быть	4	5
9	то же время	3	4
10	не только в	1	4
11	на то что	1	4
12	в то же	3	4
13	по меньшей мере	1	3
14	у пушкина но	1	2
15	в этом случае	1	2
16	хотя бы и	2	2
17	в той же	1	2
18	в первую очередь	1	2
19	и то что	2	2
20	по крайней мере	2	2
21	но в то	1	2
22	с одной стороны	1	2
23	так или иначе	1	2
24	не в том	1	2
25	а между тем	2	1
26	для него не	1	1
27	в этом смысле	2	1
28	бы то ни	3	1
29	же время не	1	1
30	могут быть оправданы	1	1
31	и в то	1	1
32	не все в	1	1
33	очевидно не может	2	1
34	но даже и	2	1
35	то что было	1	1
36	если бы это	1	1
37	никогда и не	1	1
38	несомненно и то	1	1
39	и у пушкина	1	1
40	но это не	1	1
41	быть не может	1	1
42	в конце концов	2	1
