N	3gram	Losev_Dial_2	UchenyiS
1	не может быть	3	4
2	с другой стороны	4	3
3	то же время	4	3
4	бы то ни	1	3
5	в то же	3	3
6	не могут быть	2	2
7	и в этой	1	2
8	в самом деле	3	2
9	но даже и	1	2
10	в этом смысле	1	2
11	то же самое	2	2
12	до сих пор	2	2
13	в этом отношении	1	2
14	в том что	6	2
15	по крайней мере	9	2
16	и то что	1	2
17	и в частности	2	2
18	в конце концов	1	2
19	том что она	1	1
20	все что угодно	1	1
21	или по крайней	2	1
22	так или иначе	2	1
23	не в том	1	1
24	все же не	1	1
25	а это уже	1	1
26	это было бы	1	1
27	более или менее	2	1
28	равно как и	1	1
29	большей или меньшей	1	1
30	в широком смысле	2	1
31	и не только	5	1
32	должно быть по	1	1
33	и в то	1	1
34	сам по себе	3	1
35	само по себе	2	1
36	и независимо от	1	1
37	но это не	2	1
38	и прежде всего	2	1
39	можно сказать что	3	1
40	но что такое	1	1
41	говорить не о	1	1
42	это не только	1	1
43	друг с другом	1	1
44	а не только	1	1
45	в данном случае	2	1
46	может быть в	3	1
47	не только в	2	1
48	на своем месте	1	1
49	с одной стороны	1	1
50	в отдельности и	1	1
51	на первый взгляд	1	1
