N	2gram	Potebnia_M_3	SlovoVZh
1	а не	15	2
2	только на	3	1
3	слово есть	9	1
4	о ком	1	1
5	уже и	1	1
6	оно не	4	1
7	его и	1	1
8	в процессе	1	1
9	в своей	2	1
10	может быть	28	1
11	отношению к	5	1
12	на самом	1	1
13	форма в	4	1
14	есть выражение	2	1
15	в том	32	1
16	точек зрения	1	1
17	по себе	16	1
18	и по	4	1
19	и его	4	1
20	не может	6	1
21	образом мы	1	1
22	и более	1	1
23	сознания говорящего	1	1
24	выведено из	1	1
25	таким образом	14	1
26	но это	6	1
27	того о	1	1
28	том же	2	1
29	так и	11	1
30	или не	1	1
31	сами по	1	1
32	по отношению	5	1
33	как на	5	1
34	точки зрения	2	1
