N	2gram	Losev_Dial_4	Problemy
1	и в	15	35
2	как бы	14	31
3	и не	30	27
4	что он	7	24
5	в его	4	21
6	но в	3	19
7	как и	7	18
8	к себе	1	18
9	не может	11	18
10	о себе	1	17
11	к другому	1	16
12	в нем	5	16
13	то же	9	15
14	и все	11	15
15	в сущности	5	14
16	в этом	11	14
17	и его	7	14
18	может быть	17	14
19	но и	4	14
20	все это	9	14
21	он не	1	13
22	что я	5	13
23	к нему	1	13
24	с другим	1	13
25	и с	4	12
26	у достоевского	2	12
27	прежде всего	11	12
28	в пределах	1	11
29	в то	6	11
30	не только	8	10
31	не в	8	10
32	же время	6	10
33	то что	16	10
34	а я	1	10
35	на самом	1	9
36	в отношении	2	9
37	мы уже	3	8
38	я не	5	8
39	все же	2	8
40	как мы	1	8
41	так и	5	8
42	себя и	3	8
43	и слово	2	8
44	и для	5	8
45	потому что	10	8
46	слово о	2	7
47	еще не	4	7
48	на них	1	7
49	с его	5	7
50	себе и	2	7
51	и наконец	3	7
52	лишь в	2	7
53	таким образом	5	7
54	в виде	3	7
55	вовсе не	6	7
56	так же	4	7
57	что же	2	7
58	себя самого	1	7
59	точки зрения	14	7
60	с ним	3	7
61	а в	1	7
62	отношении к	2	7
63	и на	5	6
64	он сам	1	6
65	отношение к	1	6
66	что они	4	6
67	в самом	2	6
68	у меня	1	6
69	в одном	4	6
70	и что	9	6
71	только в	7	6
72	но это	4	6
73	от него	3	6
74	не знает	1	6
75	что в	7	6
76	и то	3	5
77	как в	3	5
78	в себе	8	5
79	знает и	1	5
80	от себя	2	5
81	в конце	1	5
82	даже в	1	5
83	да и	2	5
84	и это	8	5
85	в глаза	1	5
86	в том	11	5
87	с ними	4	5
88	так что	6	5
89	и даже	6	5
90	к своему	2	5
91	как к	1	5
92	ведь и	2	4
93	бы уже	1	4
94	он как	1	4
95	так чтобы	3	4
96	в чем	8	4
97	нет и	2	4
98	же и	2	4
99	та же	3	4
100	что это	13	4
101	и вот	11	4
102	вы думаете	1	4
103	но все	2	4
104	же не	1	4
105	его в	1	4
106	переходим к	1	4
107	в них	2	4
108	в своей	3	4
109	но он	1	4
110	друг другу	1	4
111	по себе	13	4
112	никогда не	2	4
113	и без	2	4
114	во всем	2	4
115	как раз	4	4
116	как будто	2	4
117	его за	1	4
118	той или	4	4
119	сознания и	3	4
120	все его	1	4
121	тотчас же	3	4
122	все время	1	4
123	и так	2	4
124	и у	1	4
125	так как	14	4
126	не о	4	4
127	тем что	2	4
128	или иной	1	4
129	с другой	1	4
130	и прежде	1	4
131	что не	3	4
132	до конца	1	4
133	а не	18	4
134	но как	2	4
135	вот как	2	4
136	в той	1	4
137	человек и	1	4
138	бы в	4	4
139	тот же	1	4
140	во всяком	2	4
141	себя как	3	3
142	а между	1	3
143	как его	1	3
144	это и	9	3
145	достоевского в	1	3
146	говорить о	11	3
147	в виду	9	3
148	как символ	1	3
149	во всех	2	3
150	в общем	1	3
151	за пределы	3	3
152	в одной	1	3
153	с этим	3	3
154	когда он	3	3
155	все эти	3	3
156	одно и	1	3
157	то ни	4	3
158	было бы	9	3
159	этом смысле	4	3
160	с тем	4	3
161	такой же	1	3
162	в котором	2	3
163	не как	4	3
164	но только	5	3
165	ничего не	17	3
166	или как	1	3
167	с ее	10	3
168	всего этого	1	3
169	не могу	1	3
170	в ее	2	3
171	это я	1	3
172	время не	1	3
173	и во	2	3
174	что и	6	3
175	это не	12	3
176	в него	1	3
177	того что	13	3
178	но так	1	3
179	думаете что	1	3
180	уже не	9	3
181	уже в	1	3
182	из них	2	3
183	его и	1	3
184	даже и	3	3
185	своего собственного	1	3
186	сам не	1	3
187	должно быть	2	3
188	не мог	2	3
189	и от	1	3
190	это как	2	3
191	конце концов	1	3
192	мы должны	4	3
193	ибо в	1	3
194	только что	2	3
195	и вдруг	1	3
196	том что	10	3
197	сказать что	6	3
198	другой стороны	2	3
199	этого необходимо	1	2
200	я и	1	2
201	чтобы не	1	2
202	сам по	2	2
203	живое и	1	2
204	и этот	1	2
205	а как	2	2
206	она в	3	2
207	да еще	2	2
208	надо было	3	2
209	и тут	3	2
210	кто же	1	2
211	в ней	5	2
212	в которых	1	2
213	быть в	5	2
214	бы не	2	2
215	отличие от	2	2
216	не просто	7	2
217	однако в	2	2
218	по которому	1	2
219	в своем	5	2
220	виду и	1	2
221	мы можем	3	2
222	хотя и	6	2
223	и как	4	2
224	в этот	2	2
225	в которой	2	2
226	бы и	3	2
227	но ведь	1	2
228	как он	1	2
229	вообще не	1	2
230	при этом	2	2
231	но именно	2	2
232	всех этих	1	2
233	их в	1	2
234	что тут	7	2
235	и по	2	2
236	на этом	3	2
237	другу как	1	2
238	что все	4	2
239	сознание и	1	2
240	той же	5	2
241	все голоса	1	2
242	это было	2	2
243	было в	1	2
244	с другими	1	2
245	он есть	7	2
246	ни в	8	2
247	все равно	2	2
248	мы с	1	2
249	же я	1	2
250	но я	1	2
251	как все	1	2
252	с точки	9	2
253	в отличие	1	2
254	и другого	1	2
255	что сам	1	2
256	тому чтобы	1	2
257	можем сказать	2	2
258	вопрос о	2	2
259	что с	2	2
260	не менее	2	2
261	но что	5	2
262	ничего что	1	2
263	слово и	1	2
264	подобно тому	4	2
265	и лишь	1	2
266	такая же	1	2
267	очень часто	1	2
268	есть только	3	2
269	лежит в	3	2
270	этого и	1	2
271	а что	2	2
272	и он	1	2
273	из их	1	2
274	вы не	3	2
275	без всякого	2	2
276	в дальнейшем	1	2
277	он так	1	2
278	можно было	1	2
279	конечно в	1	2
