N	3gram	Tiupa_Hudo_1	Formalny
1	с точки зрения	3	13
2	то же время	8	8
3	в то же	8	8
4	и т д	3	8
5	более или менее	1	6
6	на самом деле	1	6
7	до сих пор	2	6
8	в свою очередь	1	6
9	не может быть	2	5
10	по отношению к	8	4
11	одной стороны и	1	4
12	с одной стороны	1	4
13	во всяком случае	1	4
14	так и в	1	4
15	и т п	8	4
16	прежде всего в	1	3
17	как и все	1	2
18	сами по себе	1	2
19	но в то	3	2
20	и в этом	1	2
21	в связи с	3	2
22	в литературном произведении	1	2
23	того или иного	2	2
24	не сводится к	1	2
25	связи с этим	2	2
26	не только не	1	2
27	друг от друга	1	2
28	как она есть	1	1
29	уже знаем что	1	1
30	ясно что для	1	1
31	его внутренний мир	1	1
32	состоит в том	1	1
33	ничего общего с	1	1
34	в этом смысле	1	1
35	в том и	1	1
36	гораздо большей степени	1	1
37	же как и	1	1
38	не может не	1	1
39	при этом не	1	1
40	в том что	6	1
41	же время не	1	1
42	на самом же	1	1
43	в этом отношении	3	1
44	вместо того чтобы	2	1
45	к тому чтобы	1	1
46	в гораздо большей	1	1
47	с этой точки	1	1
48	в предыдущей главе	3	1
49	в это время	1	1
50	в данном случае	1	1
51	в высшей степени	1	1
52	и в то	1	1
53	а также и	1	1
54	в отличие от	1	1
55	так или иначе	2	1
56	так и от	2	1
57	один из путей	1	1
58	или иначе не	1	1
59	самом же деле	1	1
60	самом деле в	2	1
61	этой точки зрения	1	1
62	в первой главе	3	1
63	между этими двумя	1	1
64	б м эйхенбаум	1	1
65	истории русской литературы	1	1
66	та или иная	3	1
67	друг для друга	3	1
68	было ясно что	1	1
69	с самого начала	1	1
70	поэтики так и	1	1
71	но все же	1	1
72	здесь нет и	1	1
73	прежде всего это	1	1
74	не только на	1	1
75	к тому что	4	1
76	из этих моментов	1	1
77	тому что он	2	1
78	тем не менее	3	1
79	мы уже знаем	2	1
80	на то чтобы	2	1
81	воли и чувства	1	1
82	не в этом	1	1
83	по своей природе	2	1
