N	3gram	Losev_Dial_3	formyVre
1	с точки зрения	14	8
2	в связи с	1	7
3	в этом мире	1	6
4	то же время	1	4
5	в то же	1	4
6	имеем в виду	1	3
7	мы уже сказали	1	3
8	и в особенности	1	3
9	и в то	1	3
10	и в этом	2	3
11	и прежде всего	3	3
12	в том что	3	3
13	и т д	23	3
14	а следовательно и	1	2
15	то же самое	1	2
16	на первый план	4	2
17	до сих пор	1	2
18	и во всех	1	2
19	сами по себе	3	2
20	друг на друга	1	2
21	и та же	1	2
22	одна и та	1	2
23	жизнь и смерть	1	2
24	в этом отношении	1	2
25	связи с этим	1	2
26	это значит что	21	2
27	мы имеем в	1	2
28	и пр и	1	1
29	это учение о	1	1
30	и говорить о	1	1
31	было бы и	1	1
32	от бога и	1	1
33	же в этом	1	1
34	в виду что	1	1
35	на самом деле	1	1
36	так что в	1	1
37	мы вовсе не	1	1
38	сына он не	1	1
39	и не только	3	1
40	со всеми ее	1	1
41	как и все	2	1
42	тот или иной	2	1
43	так как все	2	1
44	жизни и смерти	1	1
45	в основе их	1	1
46	а так как	1	1
47	не меньше чем	1	1
48	ничего и никого	1	1
49	не только элемент	1	1
50	это вовсе не	1	1
51	жизнь со всеми	1	1
52	может быть или	1	1
53	с тех пор	2	1
54	с этой точки	2	1
55	одно и то	2	1
56	точки зрения в	1	1
57	то время как	4	1
58	как и в	3	1
59	в данном случае	1	1
60	что в основе	1	1
61	в них как	1	1
62	с одной стороны	3	1
63	и то же	2	1
64	не могут не	1	1
65	мира и жизни	1	1
66	они должны быть	1	1
67	каждый из них	1	1
68	руки и ноги	2	1
69	это не значит	1	1
70	эта точка зрения	1	1
71	как бы при	1	1
72	с другой стороны	2	1
73	однако не только	1	1
74	не может быть	6	1
75	все это на	1	1
76	этой точки зрения	2	1
77	ни в чем	1	1
78	и как бы	1	1
79	но это значит	2	1
80	но и помимо	1	1
81	людей животных и	1	1
82	в то время	4	1
83	о том что	5	1
84	в одном из	1	1
85	кого и ни	1	1
86	если же в	1	1
87	к тому что	2	1
88	отнюдь не становится	1	1
89	тем более не	2	1
90	пр и пр	1	1
91	что уже есть	1	1
92	что и в	1	1
93	одна из самых	2	1
94	той или иной	2	1
95	и вопрос о	1	1
96	вовсе не имеем	1	1
