N	2gram	Vygotskiy__4	BTomashe
1	у нас	1	3
2	и не	8	2
3	больше чем	1	2
4	все это	1	2
5	в ней	2	2
6	видеть в	2	2
7	можно было	6	2
8	не то	1	2
9	выпадает из	1	1
10	более подробно	1	1
11	же не	2	1
12	тем более	1	1
13	остановиться на	2	1
14	говорить о	1	1
15	и в	20	1
16	в речи	4	1
17	моментом в	1	1
18	что все	3	1
19	свое название	1	1
20	с другой	12	1
21	в своей	7	1
22	значение слова	7	1
23	теоретической и	1	1
24	на самом	1	1
25	на которой	1	1
26	было бы	8	1
27	все же	5	1
28	всяком случае	3	1
29	никак не	2	1
30	между ними	4	1
31	точке зрения	1	1
32	еще не	2	1
33	и на	6	1
34	представляется нам	4	1
35	по нашему	2	1
36	только одной	1	1
37	одной из	3	1
38	должна быть	2	1
39	прежде всего	2	1
40	в данном	2	1
41	и во	3	1
42	так и	5	1
43	то как	2	1
44	его не	1	1
45	из своей	1	1
46	переходя к	1	1
47	совершенно не	3	1
48	нашему мнению	2	1
49	далеко не	2	1
50	всего в	1	1
51	почти совершенно	1	1
52	а не	7	1
53	в научном	1	1
54	что в	19	1
55	в области	4	1
56	другой стороны	9	1
57	меньшей мере	1	1
58	и ее	1	1
59	случае очень	1	1
60	не все	1	1
61	отнюдь не	3	1
62	таким образом	25	1
63	вопрос о	1	1
64	и более	7	1
65	и потому	1	1
66	не только	15	1
67	во всяком	4	1
