N	3gram	Propp_Russ_1	Narrotol
1	в данном случае	1	8
2	не только в	1	6
3	в том что	15	5
4	на себя внимание	1	3
5	по отношению к	1	3
6	подобно тому как	1	3
7	в этом отношении	1	3
8	обращает на себя	1	3
9	тем не менее	3	3
10	на другой день	1	3
11	о том что	4	2
12	состоит в том	8	2
13	в равной степени	2	2
14	но и на	2	2
15	в отличие от	1	2
16	в своего рода	1	2
17	в связи с	4	2
18	во всяком случае	1	2
19	в свою очередь	2	2
20	не только на	2	2
21	можно сказать что	1	2
22	на то что	1	2
23	ни о каких	1	1
24	и того же	1	1
25	что иное как	2	1
26	в е годы	2	1
27	что каждый из	1	1
28	только потому что	1	1
29	в глаза что	1	1
30	дело не только	1	1
31	точки зрения в	1	1
32	же как и	1	1
33	интерес к ним	1	1
34	с точки зрения	3	1
35	и не только	1	1
36	как мы увидим	5	1
37	которая представляет собой	1	1
38	что не только	1	1
39	с этого момента	2	1
40	так же в	1	1
41	точно так же	1	1
42	у него нет	1	1
43	может быть и	2	1
44	перекликаясь друг с	1	1
45	как и в	1	1
46	подробнее об этом	1	1
47	так как это	1	1
48	и потому что	2	1
49	значения и смысла	1	1
50	друг с другом	1	1
51	и как бы	1	1
52	и та же	1	1
53	одна и та	1	1
54	хотя они и	1	1
55	бросается в глаза	1	1
56	мы не можем	3	1
57	к этому времени	1	1
58	ни одна из	1	1
59	в нашем сознании	1	1
60	но все же	2	1
61	одного и того	1	1
62	в этих случаях	1	1
63	к тому что	4	1
64	на самом деле	1	1
65	а в тех	1	1
66	мы уже знаем	1	1
67	быть и не	1	1
68	и т д	9	1
69	как мы видели	1	1
70	между тем это	1	1
71	что она в	1	1
