N	3gram	Potebnia_M_4	OGranits
1	с точки зрения	3	5
2	не может быть	5	4
3	до тех пор	6	4
4	тех пор пока	2	3
5	по отношению к	8	3
6	что иное как	2	2
7	представим себе что	1	2
8	но так как	1	2
9	в данном случае	2	2
10	с одной стороны	1	2
11	с другой стороны	1	2
12	ничего общего с	1	2
13	есть не что	1	2
14	с самого начала	1	2
15	не что иное	2	2
16	в том что	7	2
17	один и тот	2	1
18	только потому что	2	1
19	иметь в виду	1	1
20	в виду что	1	1
21	равно как и	2	1
22	на самом деле	3	1
23	подобно тому как	2	1
24	при этом следует	1	1
25	с этим словом	1	1
26	то же самое	4	1
27	в его понимании	1	1
28	и не может	1	1
29	больше и лучше	1	1
30	можно говорить о	1	1
31	нет и не	1	1
32	между тем как	2	1
33	не было бы	1	1
34	в этом отношении	1	1
35	то что в	2	1
36	следует иметь в	1	1
37	но мы должны	1	1
38	может быть и	1	1
39	для того чтобы	4	1
40	может быть не	1	1
41	если бы мы	1	1
42	которая связана с	1	1
43	там где она	1	1
44	и тот же	2	1
45	не в ее	1	1
46	на том основании	1	1
47	между собою и	2	1
48	тем не менее	4	1
49	и вместе с	1	1
50	и к тому	1	1
51	может быть объяснено	1	1
52	и как бы	2	1
53	в связи с	1	1
54	а не как	1	1
55	само по себе	5	1
56	сюда относятся все	1	1
57	все то что	1	1
58	до такой степени	5	1
59	из нее как	1	1
60	понимания явлений и	1	1
61	то же время	3	1
62	том основании что	1	1
63	но тем не	2	1
64	мы не можем	3	1
65	таким образом мы	2	1
66	на то что	4	1
67	никоим образом не	1	1
68	в то же	3	1
69	к тому что	1	1
70	как и в	1	1
71	же самое слово	1	1
