N	3gram	Nazirov_Tv_2	Formalny
1	то же время	7	8
2	в то же	7	8
3	и т д	11	8
4	до сих пор	3	6
5	в свою очередь	1	6
6	не может быть	3	5
7	по отношению к	3	4
8	во всяком случае	2	4
9	так и в	2	4
10	и т п	2	4
11	нет и не	1	2
12	в нем и	1	2
13	и не может	2	2
14	сами по себе	1	2
15	в применении к	1	2
16	но в то	1	2
17	и в этом	1	2
18	в связи с	1	2
19	в целом ряде	1	2
20	у нас не	1	2
21	того или иного	1	2
22	как и всякая	1	2
23	не сводится к	1	2
24	мы не можем	1	2
25	русской критики и	1	1
26	особое место в	1	1
27	в чем же	1	1
28	ничего общего с	1	1
29	так и не	1	1
30	же как и	1	1
31	и др однако	1	1
32	в том что	2	1
33	таким образом чтобы	1	1
34	том числе и	1	1
35	она дана в	1	1
36	и в истории	1	1
37	со всех сторон	1	1
38	так сказать в	1	1
39	в целом и	2	1
40	уже не о	1	1
41	в высшей степени	1	1
42	и в то	2	1
43	и психологии и	1	1
44	в отличие от	2	1
45	в роман и	1	1
46	в мире идеологических	1	1
47	с другой стороны	2	1
48	его участие в	1	1
49	так же как	2	1
50	и в том	1	1
51	по себе не	1	1
52	может и не	1	1
53	не только с	1	1
54	его место в	1	1
55	с самого начала	1	1
56	но отнюдь не	1	1
57	нужно сказать что	1	1
58	в том числе	1	1
59	в предисловии к	1	1
60	чем же выразится	1	1
61	на то чтобы	1	1
62	идет уже не	1	1
