N	3gram	Losev_Dial_2	VelikijI
1	за то что	1	3
2	то что мы	1	3
3	к тому что	1	3
4	но и в	1	2
5	том что он	1	2
6	бы и не	1	2
7	это еще не	1	2
8	в том что	6	2
9	и т д	15	2
10	я думаю что	1	1
11	но все же	1	1
12	то ни стало	1	1
13	во что бы	1	1
14	есть прежде всего	1	1
15	к чему же	1	1
16	т д и	2	1
17	да и то	1	1
18	и то и	1	1
19	как не есть	1	1
20	не есть метафизическое	1	1
21	с тем чтобы	1	1
22	бы то ни	1	1
23	по крайней мере	9	1
24	то и другое	1	1
25	вместе с тем	1	1
26	что бы то	1	1
27	в конце концов	1	1
28	и в этом	1	1
29	в искусстве но	1	1
30	не могут быть	2	1
31	с другой стороны	4	1
32	по сравнению с	1	1
33	я был в	1	1
34	д и т	2	1
35	и вместе с	1	1
36	не утверждение личности	1	1
37	и это еще	1	1
38	находить ее в	1	1
39	в жизни и	1	1
