N	3gram	Bakhtin_Pr_1	Stilisti
1	в то же	7	9
2	в зависимости от	3	7
3	то же время	7	7
4	для того чтобы	2	7
5	с точки зрения	15	5
6	того или иного	1	5
7	то же самое	1	4
8	с самого начала	2	4
9	на самом деле	3	3
10	в той же	3	3
11	не только в	1	3
12	в конце концов	4	3
13	но для того	1	3
14	но все же	1	3
15	как мы уже	2	3
16	в каждом слове	1	2
17	равно как и	1	2
18	и не только	1	2
19	и в то	3	2
20	в этом отношении	5	2
21	может быть понято	1	2
22	в значительной степени	1	2
23	но в то	2	2
24	на первый взгляд	1	2
25	смысле этого слова	1	2
26	зависимости от того	1	2
27	и на его	1	2
28	как бы в	2	2
29	не может быть	3	2
30	и как бы	1	2
31	о том что	2	2
32	можно сказать что	2	2
33	к тому что	1	2
34	мы видим что	1	2
35	тех или иных	1	2
36	все то что	3	2
37	вполне понятно что	1	1
38	находит свое внешнее	1	1
39	ли он у	1	1
40	по отношению к	11	1
41	так как в	1	1
42	в самом деле	2	1
43	мы должны перейти	1	1
44	свое выражение в	1	1
45	в нем и	1	1
46	как раз и	1	1
47	необходимо заметить что	1	1
48	точку зрения на	1	1
49	тот же самый	1	1
50	противоречащих друг другу	1	1
51	до сих пор	2	1
52	что для них	1	1
53	на минуту не	1	1
54	от того в	1	1
55	в себе и	1	1
56	несмотря на это	1	1
57	несмотря на свою	1	1
58	можно было бы	3	1
59	на этот вопрос	1	1
60	как таковое не	1	1
61	по крайней мере	2	1
62	вновь и вновь	1	1
63	хотя бы и	2	1
64	точкой зрения на	1	1
65	в большинстве случаев	2	1
66	мы увидим дальше	1	1
67	и противоречащих друг	1	1
68	а в этом	1	1
69	тем что он	1	1
70	это прежде всего	1	1
71	и не могут	1	1
72	и в этом	3	1
73	по сравнению с	1	1
74	из которых слагается	1	1
75	ни на минуту	1	1
76	чтобы убедиться в	1	1
77	один из этих	1	1
78	свое внешнее выражение	1	1
79	и в романе	2	1
80	но не только	1	1
81	друг друга и	1	1
82	по ту сторону	1	1
83	наконец и это	1	1
84	совершенно особый тип	1	1
85	в самой основе	1	1
86	не только его	1	1
87	различные точки зрения	1	1
88	мы не можем	1	1
89	на другого человека	1	1
90	само по себе	2	1
91	приходила в голову	1	1
92	и никогда не	1	1
93	не только не	1	1
94	и не может	2	1
95	с другой стороны	2	1
96	перейти к более	1	1
97	но все эти	1	1
98	та или иная	1	1
99	в том что	7	1
100	именно потому что	2	1
101	перед нами не	1	1
102	одной из тех	1	1
103	в пределах одного	1	1
