N	2gram	Medvedev_S_1	Stilisti
1	и в	3	42
2	не только	3	27
3	как бы	2	27
4	прежде всего	1	22
5	хотя бы	1	17
6	но и	2	15
7	то же	2	15
8	и не	1	14
9	не может	1	12
10	может быть	2	12
11	как и	1	11
12	и как	1	10
13	в этом	5	10
14	отнюдь не	1	10
15	мы должны	1	10
16	мы не	1	9
17	то что	2	9
18	в то	1	9
19	все же	1	8
20	таким образом	2	8
21	же время	1	7
22	и его	1	7
23	ничего не	1	7
24	никогда не	1	7
25	только в	2	7
26	было бы	2	7
27	так и	1	6
28	не в	3	6
29	когда мы	1	6
30	в конце	2	6
31	но ведь	3	6
32	в этой	1	6
33	в процессе	1	6
34	в области	1	6
35	и наконец	1	5
36	с помощью	1	5
37	те же	1	5
38	в его	3	5
39	тому что	1	5
40	а в	1	5
41	же самое	1	5
42	бы в	1	4
43	что это	1	4
44	его в	1	4
45	один из	1	4
46	а с	1	4
47	в каждом	1	4
48	о том	1	4
49	все это	7	4
50	тем же	1	4
51	еще не	2	3
52	конце концов	2	3
53	слова но	1	3
54	главным образом	2	3
55	связи с	1	3
56	между ними	1	3
57	для нас	3	3
58	это не	1	3
59	в целом	1	3
60	как только	2	3
61	представить себе	1	3
62	в котором	1	3
63	вряд ли	1	3
64	должно было	1	3
65	конечно не	1	3
66	перед нами	1	3
67	ни на	1	3
68	связь между	1	3
69	том что	2	3
70	все эти	1	2
71	но не	1	2
72	в связи	1	2
73	место в	1	2
74	ли не	1	2
75	перейти к	1	2
76	только тогда	1	2
77	еще и	1	2
78	не было	1	2
79	зависит от	1	2
80	нужно было	2	2
81	я и	1	2
82	к которому	2	2
83	с ним	1	2
84	в своей	1	2
85	на отдельные	1	2
86	или даже	2	2
87	все то	1	2
88	между собой	1	2
89	в том	5	2
90	в него	1	2
91	и потому	1	2
92	очевидно что	2	2
93	тем что	1	2
94	это же	1	2
95	конечно только	1	2
96	что эти	1	2
97	на первый	1	2
98	в этих	1	2
99	в мире	1	2
100	в частности	2	2
101	что он	1	2
102	для наших	1	2
103	чуть ли	1	2
104	эти вопросы	1	2
105	столь же	1	1
106	может не	1	1
107	жизни он	1	1
108	в конечном	1	1
109	только как	2	1
110	или не	1	1
111	и благодаря	1	1
112	даже не	1	1
113	отношению к	2	1
114	же этот	1	1
115	это как	1	1
116	крайней мере	1	1
117	вовсе не	1	1
118	писателя не	1	1
119	в виде	1	1
120	у него	1	1
121	даже в	1	1
122	и должны	1	1
123	по необходимости	1	1
124	это дает	1	1
125	дает нам	1	1
126	конечном счете	1	1
127	и никак	1	1
128	нет его	1	1
129	этом не	1	1
130	это происходит	1	1
131	вопросом о	1	1
132	осложняется еще	1	1
133	что в	2	1
134	исторической жизни	2	1
135	в силу	1	1
136	творческой энергии	1	1
137	в таких	1	1
138	происходящее в	1	1
139	между тем	1	1
140	но как	1	1
141	он ни	1	1
142	более чем	3	1
143	на все	1	1
144	за пределы	2	1
145	она должна	1	1
146	этом но	1	1
147	благодаря тому	1	1
148	это и	2	1
149	что без	1	1
150	мастером своего	1	1
151	из тех	1	1
152	и темы	1	1
153	даже больше	1	1
154	в чем	1	1
155	в сущности	1	1
156	по себе	1	1
157	и о	1	1
158	только то	1	1
159	в те	1	1
160	стоит только	1	1
161	образом в	1	1
162	его исследования	1	1
163	для этого	1	1
164	и понимает	1	1
165	по крайней	1	1
166	не мешает	1	1
167	именно в	1	1
168	к вопросам	1	1
169	он говорит	1	1
170	и будет	1	1
171	и что	2	1
172	в результате	2	1
173	тем более	2	1
174	с другой	1	1
175	на этот	1	1
176	по отношению	2	1
177	и есть	1	1
178	не из	1	1
179	никак не	1	1
180	что личность	1	1
181	благодаря этому	1	1
182	со своими	1	1
183	как же	3	1
184	о художественных	1	1
