N	2gram	Kanaev_Sov_1	VLabPisa
1	таким образом	11	27
2	в этом	7	26
3	и в	7	25
4	не только	4	22
5	может быть	12	21
6	и не	6	19
7	не может	17	17
8	в его	2	15
9	в процессе	1	14
10	в том	4	13
11	прежде всего	5	13
12	все это	3	12
13	с другой	1	11
14	из них	4	11
15	не могут	2	10
16	о том	1	10
17	то же	3	9
18	что в	2	9
19	к этому	1	9
20	в своем	1	8
21	все эти	5	8
22	могут быть	2	8
23	во всех	1	7
24	по отношению	1	7
25	из этих	2	7
26	было бы	3	7
27	как и	6	7
28	том что	1	7
29	в конечном	1	7
30	не было	1	7
31	а не	3	7
32	вместе с	4	7
33	же в	1	7
34	отношению к	1	7
35	это и	1	6
36	в зависимости	4	6
37	в себе	3	6
38	в нем	3	6
39	это не	4	6
40	их в	4	6
41	и его	1	6
42	в то	1	6
43	у него	2	6
44	и есть	2	5
45	зависимости от	4	5
46	конечном счете	1	5
47	все же	3	5
48	и при	1	5
49	не в	3	5
50	же время	1	5
51	связи с	1	5
52	приводит к	2	5
53	один из	1	5
54	как бы	4	5
55	не является	1	5
56	в результате	6	5
57	сказать что	1	5
58	только в	1	5
59	их и	1	4
60	с его	1	4
61	в этой	3	4
62	чем же	1	4
63	в самом	2	4
64	в целом	4	4
65	что все	2	4
66	одна из	3	4
67	никогда не	1	4
68	для его	2	4
69	должен быть	1	4
70	это только	1	4
71	в одном	3	4
72	в связи	1	4
73	равно как	1	4
74	человека и	1	3
75	видели что	3	3
76	но как	1	3
77	явлений и	1	3
78	нет и	4	3
79	с этим	2	3
80	и к	3	3
81	следующим образом	3	3
82	и по	2	3
83	его в	1	3
84	мы видели	4	3
85	как целого	1	3
86	точки зрения	12	3
87	это делает	1	3
88	этой области	1	3
89	у нас	3	3
90	она не	1	3
91	том как	1	3
92	утверждает что	1	3
93	этот вопрос	1	3
94	и их	1	3
95	из приведенных	1	3
96	в конце	3	3
97	именно в	1	3
98	мы знаем	2	3
99	так же	1	3
100	по существу	1	3
101	и от	1	3
102	или в	1	3
103	жизни и	4	3
104	как известно	2	2
105	он может	3	2
106	отдельных элементов	1	2
107	по его	1	2
108	мы имеем	1	2
109	же как	1	2
110	в которой	2	2
111	говорить о	2	2
112	разобраться в	1	2
113	подчеркнуть что	1	2
114	в ней	1	2
115	еще не	3	2
116	например у	1	2
117	что его	1	2
118	но не	1	2
119	если в	1	2
120	отнюдь не	3	2
121	стороны и	1	2
122	хотя и	1	2
123	но в	3	2
124	не приходится	1	2
