N	2gram	Nazirov_Tv_1	Poddanst
1	не только	7	17
2	и в	21	14
3	и не	7	12
4	в области	1	11
5	в этом	6	10
6	в отношении	1	10
7	в качестве	2	9
8	но в	7	9
9	то же	13	9
10	в том	7	9
11	хотя бы	5	8
12	только в	5	7
13	в то	15	7
14	же время	12	7
15	в ней	2	6
16	xix века	6	6
17	было бы	1	6
18	но и	3	6
19	быть может	2	6
20	в смысле	1	6
21	отношении к	1	5
22	с другой	3	5
23	может быть	5	5
24	п о	1	5
25	а я	1	5
26	не в	2	5
27	и о	1	5
28	россии из	1	4
29	в своем	4	4
30	и к	1	4
31	как бы	17	4
32	и если	1	4
33	европейской культуры	1	4
34	том что	11	4
35	не может	4	4
36	в котором	6	4
37	по себе	1	4
38	в русской	5	4
39	что в	12	4
40	мы должны	1	4
41	же в	1	4
42	а в	6	4
43	то что	8	4
44	в с	2	4
45	россия должна	1	3
46	и т	3	3
47	столь же	1	3
48	между тем	1	3
49	это не	4	3
50	вслед за	2	3
51	хотя и	3	3
52	и как	4	3
53	тот же	2	3
54	с ними	1	3
55	с одной	1	3
56	в себе	2	3
57	в нем	3	3
58	сами по	1	3
59	в россии	3	3
60	заключается в	1	3
61	прежде всего	4	3
62	одной стороны	1	3
63	с тем	1	3
64	но не	3	3
65	наряду с	1	3
66	могут быть	2	3
67	т е	1	3
68	тем самым	7	3
69	потому что	5	3
70	я и	3	3
71	и это	1	2
72	в сфере	1	2
73	в ее	1	2
74	переход от	1	2
75	и есть	1	2
76	в мире	4	2
77	было в	2	2
78	есть не	2	2
79	начала и	1	2
80	никак не	1	2
81	в xix	1	2
82	не нужно	2	2
83	время в	3	2
84	во всех	1	2
85	в которую	1	2
86	говорить о	1	2
87	если в	2	2
88	во всей	2	2
89	отнюдь не	5	2
90	в русском	1	2
91	с этим	1	2
92	xix век	1	2
93	того что	3	2
94	к чему	1	2
95	и других	3	2
96	в его	13	2
97	из них	2	2
98	в виде	3	2
99	не к	1	2
100	и вот	1	2
101	как раз	1	2
102	в статье	1	2
103	и с	3	2
104	именно в	2	2
105	и тем	2	2
106	в жизни	2	2
107	xix веке	1	2
108	для них	1	2
109	в них	1	2
110	не было	1	2
111	а не	5	2
