N	3gram	Bakhtin_Pr_1	DiskursI
1	в данном случае	2	6
2	в том что	6	6
3	то же время	9	5
4	по отношению к	8	4
5	в этом отношении	3	4
6	в то же	9	4
7	так и в	1	3
8	не может быть	4	3
9	о том что	1	3
10	как и всякое	1	2
11	подобно тому как	3	2
12	в этом случае	1	2
13	что же касается	1	2
14	с точки зрения	13	2
15	и не может	2	2
16	своего и чужого	1	2
17	дело в том	1	2
18	на первый взгляд	1	2
19	в другом месте	1	1
20	в своих границах	1	1
21	к себе самому	1	1
22	в самом деле	2	1
23	же время и	1	1
24	к самому герою	1	1
25	того или иного	1	1
26	с другой стороны	3	1
27	и в то	2	1
28	до известной степени	1	1
29	выходе за пределы	1	1
30	бы то ни	2	1
31	и именно в	1	1
32	только то что	2	1
33	тому как в	1	1
34	то что в	1	1
35	но это не	2	1
36	в частности на	1	1
37	и могут быть	1	1
38	и в частности	1	1
39	в своем творчестве	1	1
40	как и его	1	1
41	то что может	1	1
42	не совпадает с	1	1
43	прямого авторского слова	1	1
44	говорит об этом	1	1
45	то ни было	1	1
46	отношение к своему	1	1
47	не столько в	1	1
48	и в пределах	1	1
49	как будто бы	1	1
50	не могут быть	1	1
51	а не как	4	1
52	не в том	1	1
53	его жизненного пути	1	1
54	во всяком случае	3	1
55	при всей их	1	1
56	даже в пределах	1	1
57	между тем как	4	1
58	все же остается	1	1
59	та или иная	1	1
60	в одном из	1	1
61	с самого начала	1	1
62	точки зрения автора	1	1
63	но все эти	1	1
64	становления и роста	1	1
65	тем что он	1	1
66	можно сказать что	1	1
67	в полной мере	1	1
68	в большинстве случаев	2	1
69	место в творчестве	1	1
70	все то что	3	1
71	ставил и решал	1	1
72	по крайней мере	1	1
73	и решал в	1	1
