N	2gram	Bakhtin_Pr_4	UchenyiS
1	и в	46	14
2	а не	11	10
3	не только	14	10
4	и не	27	8
5	прежде всего	9	8
6	в этом	16	7
7	не может	19	7
8	то что	4	7
9	может быть	23	6
10	в художественном	2	5
11	и только	3	5
12	стилистических приемов	1	5
13	все это	6	5
14	то же	6	5
15	хотя бы	2	5
16	в их	4	4
17	что такое	2	4
18	с другой	3	4
19	конечно не	8	4
20	но и	12	4
21	в этой	3	4
22	у нас	2	3
23	в своей	3	3
24	все же	4	3
25	не как	3	3
26	в то	5	3
27	же время	5	3
28	или точнее	1	3
29	и формы	1	3
30	в частности	1	3
31	к сожалению	1	3
32	для этого	2	3
33	другой стороны	3	3
34	в области	1	3
35	для него	2	3
36	но в	6	3
37	не о	1	3
38	и то	1	3
39	было бы	3	3
40	и т.д	3	3
41	это не	5	3
42	ни было	1	3
43	как и	12	3
44	только к	2	3
45	в системе	2	2
46	не столько	1	2
47	одним из	3	2
48	и через	2	2
49	а между	2	2
50	в себе	7	2
51	к области	2	2
52	бы и	2	2
53	установку на	2	2
54	и с	7	2
55	же не	1	2
56	именно как	2	2
57	по себе	7	2
58	конце концов	1	2
59	мы и	3	2
60	все они	1	2
61	но не	4	2
62	с его	5	2
63	для поэзии	1	2
64	ничего не	2	2
65	по существу	3	2
66	дело конечно	1	2
67	и у	1	2
68	прием в	1	2
69	этом смысле	2	2
70	тем что	3	2
71	и для	3	2
72	превращается в	4	2
73	но конечно	2	2
74	даже и	1	2
75	и роль	1	2
76	и является	2	2
77	в широком	1	2
78	вопроса о	1	2
79	что она	1	2
80	что он	6	2
81	что все	1	2
82	должна быть	2	2
83	изучения художественного	1	2
84	в том	9	2
85	только в	6	2
86	между тем	2	2
87	является в	1	2
88	могли бы	1	2
89	таким образом	4	2
90	меньшей степени	2	2
91	что и	3	2
92	в его	9	2
93	сих пор	8	2
94	художественном творчестве	1	2
95	наконец он	1	2
96	если бы	3	2
97	как раз	7	2
98	могут быть	2	2
99	что мы	2	2
100	не в	10	2
101	литературы и	1	2
102	его и	1	2
103	в самом	9	2
104	самом деле	4	2
105	мы не	4	2
106	а как	2	2
107	в сторону	1	2
108	в конце	3	2
109	но это	6	2
110	не есть	1	2
111	том что	4	2
112	не могут	3	2
113	до сих	8	2
114	в некоторых	1	2
115	крайности до	1	1
116	то и	2	1
117	этих слов	1	1
118	друг с	5	1
119	относятся к	1	1
120	для изучения	1	1
121	в процессе	4	1
122	до крайности	1	1
123	и что	3	1
124	степени и	2	1
125	до конца	4	1
126	он не	4	1
127	что при	1	1
128	без труда	1	1
129	не ставит	1	1
130	в сфере	1	1
131	только одним	1	1
132	почти не	2	1
133	с другом	5	1
134	об этом	2	1
135	и единого	1	1
136	в точном	1	1
137	на лингвистику	1	1
138	пушкина но	1	1
139	отсюда и	1	1
140	еще раз	1	1
141	переходит в	1	1
142	в словах	4	1
143	язык в	1	1
144	приводит к	4	1
145	все что	2	1
146	в значительной	1	1
147	не входит	2	1
148	на его	1	1
