N	3gram	Vinokur_St_3	Russkaja
1	то же время	3	10
2	в то же	3	10
3	с точки зрения	4	9
4	в том что	11	7
5	на самом деле	1	6
6	во всяком случае	4	6
7	для того чтобы	1	6
8	до сих пор	2	5
9	более или менее	1	4
10	на то что	3	4
11	не может быть	5	4
12	не может не	1	3
13	в лучшем случае	1	3
14	вместе с тем	1	3
15	можно было бы	1	3
16	и если в	1	3
17	к вопросу о	1	3
18	в конце концов	3	3
19	той или иной	1	3
20	в значительной мере	1	2
21	в их общей	1	2
22	в этом направлении	1	2
23	и во всяком	1	2
24	о том что	4	2
25	в другом случае	1	2
26	к тому что	2	2
27	и в другом	1	2
28	россии никогда не	1	1
29	в том виде	1	1
30	состоит в том	3	1
31	прежде всего в	3	1
32	в свою очередь	1	1
33	между прочим и	1	1
34	в самом деле	1	1
35	важно отметить что	2	1
36	и в некоторых	1	1
37	то же самое	1	1
38	в том же	1	1
39	является не только	1	1
40	может быть назван	2	1
41	он не может	1	1
42	для россии и	2	1
43	и в других	1	1
44	в этом отношении	4	1
45	ко всему этому	1	1
46	свидетельствуют о том	1	1
47	тот или иной	1	1
48	по крайней мере	4	1
49	и в частности	1	1
50	в применении к	1	1
51	никогда не был	1	1
52	в том чтобы	2	1
53	тем что он	2	1
54	только в виде	2	1
55	и в этом	2	1
56	во всех этих	2	1
57	прежде всего необходимо	1	1
58	по этому пути	1	1
59	в связи с	3	1
60	означало бы гибель	1	1
61	мы подходим к	1	1
62	сих пор мы	1	1
63	свою точку зрения	1	1
64	и этот взгляд	1	1
65	от того что	1	1
66	заключается в том	2	1
67	в этом и	1	1
68	смотреть как на	1	1
69	в своих целях	1	1
70	с самого начала	2	1
71	вопрос о том	1	1
72	если в области	1	1
73	речь идет о	1	1
74	но все же	2	1
75	тем более что	2	1
76	совершенно очевидно что	1	1
77	но и ни	1	1
78	но на самом	1	1
79	тем не менее	2	1
80	во многих случаях	1	1
81	россии и для	1	1
82	которую можно назвать	1	1
83	но этого мало	1	1
