N	3gram	Losev_Prob_5	slovoVRo
1	то же время	1	12
2	в то же	1	12
3	той или иной	1	9
4	с точки зрения	8	8
5	в большинстве случаев	1	6
6	во всяком случае	2	5
7	и т д	1	5
8	с одной стороны	3	4
9	с другой стороны	5	4
10	но в то	1	4
11	то есть как	1	3
12	в данном случае	2	3
13	так и в	1	3
14	бы ни были	1	2
15	а вовсе не	1	2
16	до сих пор	2	2
17	может быть только	3	2
18	то время как	3	2
19	не только в	1	2
20	в то время	3	2
21	и в этом	1	2
22	можно было бы	1	2
23	и в том	1	2
24	как и у	2	1
25	в виду не	1	1
26	не только по	1	1
27	какой степени не	1	1
28	точки зрения которого	1	1
29	там где нет	1	1
30	дело в том	2	1
31	но это не	1	1
32	которые не были	1	1
33	в нем и	1	1
34	и не в	2	1
35	то или иное	1	1
36	к людям и	1	1
37	не входит в	1	1
38	его форму и	1	1
39	бы то ни	2	1
40	но и в	2	1
41	с ним в	1	1
42	в этом отношении	1	1
43	по аналогии с	1	1
44	в х годах	1	1
45	с этой точки	1	1
46	по крайней мере	4	1
47	у него нет	1	1
48	ни в какой	1	1
49	и в частности	3	1
50	в новом свете	1	1
51	то ни было	1	1
52	на задний план	1	1
53	а также и	1	1
54	в которой они	1	1
55	вместе со своим	1	1
56	в какой степени	1	1
57	перед дилеммой либо	1	1
58	так или иначе	1	1
59	это только те	1	1
60	с ним до	1	1
61	каковы бы ни	1	1
62	не может быть	2	1
63	здесь перед нами	1	1
64	тем не менее	5	1
65	о том что	9	1
66	в одном своем	1	1
67	здесь таким образом	1	1
68	свою жизнь в	1	1
69	равно как и	2	1
70	у него есть	1	1
71	его из этого	1	1
72	то есть в	1	1
73	этой точки зрения	1	1
74	с самого начала	1	1
75	можно сказать что	3	1
76	для нас в	2	1
77	тех или иных	2	1
78	для того чтобы	2	1
79	в том что	8	1
80	и нуждается в	1	1
