N	3gram	Medvedev_S_1	Freidism
1	по отношению к	2	8
2	во всяком случае	1	7
3	то же время	1	4
4	в то же	1	4
5	в конечном счете	1	3
6	то же самое	1	2
7	это вовсе не	1	2
8	а с другой	1	2
9	благодаря тому что	1	2
10	это и есть	1	2
11	с одной стороны	1	2
12	в конце концов	2	2
13	это как будто	1	1
14	и потому его	1	1
15	не было бы	1	1
16	только то что	1	1
17	в этом нужно	1	1
18	по крайней мере	1	1
19	между ними в	1	1
20	с помощью тех	1	1
21	очень далеки от	1	1
22	сказать и о	1	1
23	не дает никаких	1	1
24	в том что	2	1
25	конечно не в	1	1
