N	3gram	Propp_Isto_3	RusskieA
1	в том что	5	15
2	и т д	15	9
3	состоит в том	2	8
4	том что в	2	6
5	вместе с тем	1	6
6	в этом случае	5	5
7	как мы увидим	1	5
8	и в других	2	4
9	в связи с	3	4
10	о том что	2	4
11	с точки зрения	1	3
12	в другие сроки	1	3
13	тем не менее	5	3
14	к этому же	2	2
15	что иное как	3	2
16	что в этом	1	2
17	мы не будем	1	2
18	может быть и	1	2
19	один из них	1	2
20	во многих местах	1	2
21	так как они	1	2
22	все же не	1	2
23	в других случаях	1	2
24	но тем не	2	2
25	в свою очередь	1	2
26	мы увидим ниже	2	2
27	не только на	1	2
28	но все же	2	2
29	в большинстве случаев	1	2
30	после того как	1	2
31	не что иное	3	2
32	во многих случаях	1	2
33	и у нас	1	2
34	с этим в	1	1
35	речь будет ниже	1	1
36	хотя и не	1	1
37	есть один из	1	1
38	по этому вопросу	1	1
39	время от времени	1	1
40	видеть в этом	1	1
41	по отношению к	2	1
42	точно так же	2	1
43	на самом деле	1	1
44	к вопросу в	1	1
45	так как в	1	1
46	в тех случаях	1	1
47	подобно тому как	1	1
48	из них из	1	1
49	не совсем так	2	1
50	в русском фольклоре	1	1
51	мы должны будем	1	1
52	то же известно	1	1
53	в таком случае	1	1
54	увидим ниже что	1	1
55	то что и	1	1
56	что в сказке	3	1
57	на самом же	1	1
58	независимо от того	1	1
59	эти случаи показывают	2	1
60	это не что	1	1
61	еще не означает	1	1
62	так же в	1	1
63	можно было бы	1	1
64	на этот вопрос	1	1
65	или в другие	1	1
66	этот вопрос можно	1	1
67	выводы этой работы	1	1
68	как они не	1	1
69	народы у которых	1	1
70	не только в	1	1
71	есть и другие	1	1
72	мы можем предположить	4	1
73	ничего не знает	1	1
74	т е с	1	1
75	о том чтобы	1	1
76	в некоторых местах	1	1
77	приведем несколько примеров	1	1
78	но вместе с	1	1
79	что делалось в	1	1
80	во всяком случае	2	1
81	мы имеем здесь	1	1
82	так же как	1	1
83	и в том	1	1
84	самом же деле	1	1
85	это не совсем	1	1
86	здесь мы имеем	3	1
87	из всех этих	1	1
88	мы уже знаем	2	1
89	таком случае их	1	1
90	можем предположить что	4	1
91	можно установить что	1	1
92	необходимо указать что	1	1
93	не означает что	1	1
94	в то время	2	1
95	как будто совершенно	1	1
96	об этом мы	1	1
97	ничего общего с	1	1
98	в одном из	2	1
99	с тем что	1	1
100	но есть и	1	1
101	можно сказать что	1	1
102	на то что	1	1
103	в этих случаях	7	1
104	тех случаях когда	1	1
105	и получают от	1	1
106	мы видим что	4	1
107	у нас в	1	1
108	друг с другом	1	1
109	из приведенных материалов	1	1
110	встречаются и в	1	1
111	как и в	2	1
112	что и в	2	1
113	в данном случае	3	1
114	как мы видели	5	1
