N	3gram	Berdyaev_M_2	Hudozhes
1	по отношению к	2	10
2	той или иной	1	5
3	в том что	2	5
4	так и не	1	4
5	с точки зрения	1	3
6	в этом мире	1	2
7	как бы не	1	2
8	но он не	1	2
9	в значительной степени	1	2
10	для того чтобы	4	2
11	на наших глазах	1	2
12	к тому что	3	2
13	сама по себе	1	2
14	добро и зло	2	1
15	по своей природе	1	1
16	это ведет к	1	1
17	что иное как	3	1
18	мы видим в	1	1
19	может быть назван	2	1
20	ивана карамазова в	1	1
21	подобно тому как	2	1
22	сойти с ума	1	1
23	и для него	2	1
24	преступлении и наказании	1	1
25	что он не	1	1
26	с ним как	1	1
27	в каждом человеке	2	1
28	он обращен к	1	1
29	в себе и	1	1
30	у нее нет	1	1
31	с самим собою	2	1
32	для него не	1	1
33	может быть и	2	1
34	который может быть	1	1
35	ибо и в	1	1
36	не знает личности	1	1
37	знает личности как	1	1
38	в той мере	1	1
39	во втором случае	1	1
40	и в этой	1	1
41	та или иная	1	1
42	может быть названо	1	1
43	в другом и	1	1
44	на этом пути	2	1
45	так же как	3	1
46	не сама по	1	1
47	по ту сторону	1	1
48	есть не что	3	1
49	если бы для	1	1
50	это и есть	3	1
51	в преступлении и	1	1
52	о том что	2	1
53	никогда не бывает	2	1
54	именно потому что	1	1
55	мере в какой	1	1
56	не что иное	3	1
57	той мере в	1	1
58	в отношении к	2	1
59	том что он	1	1
60	не может быть	8	1
61	в этом втором	1	1
62	как и в	2	1
63	с самим собой	1	1
