N	3gram	Propp_Morf_1	Myshleni
1	в том что	3	19
2	по отношению к	4	10
3	с точки зрения	2	10
4	для того чтобы	2	8
5	с самого начала	1	7
6	к тому что	3	7
7	можно сказать что	1	6
8	в то время	3	6
9	друг с другом	1	5
10	то время как	3	5
11	на то что	2	4
12	до сих пор	1	3
13	друг к другу	2	3
14	в этом отношении	1	3
15	в первом случае	3	3
16	и там где	1	2
17	до известной степени	1	2
18	с другой стороны	4	2
19	в этом случае	8	2
20	то что он	1	2
21	вместо того чтобы	1	2
22	это мы видим	1	2
23	начинается с того	2	2
24	независимо от того	3	2
25	не могут быть	2	2
26	с того что	2	2
27	в связи с	8	2
28	таким образом мы	5	2
29	во втором случае	1	2
30	состоит в том	2	2
31	не может быть	9	2
32	в этом и	1	1
33	мы не можем	1	1
34	с одной стороны	1	1
35	формы связанные с	1	1
36	не потому что	1	1
37	таким образом что	1	1
38	том или другом	1	1
39	связи с этим	4	1
40	один раз он	1	1
41	приводит к тому	1	1
42	о том как	1	1
43	в одном случае	1	1
44	является то что	1	1
45	оно может быть	2	1
46	один из наиболее	1	1
47	как и в	2	1
48	от того как	1	1
49	так как мы	1	1
50	тех или иных	1	1
51	потому что в	1	1
52	а потому что	1	1
53	с теми или	1	1
54	в другом случае	1	1
55	к таким формам	1	1
56	представляет собой только	1	1
57	что и в	1	1
58	а и в	1	1
59	прежде чем перейти	1	1
60	представляют собой основные	1	1
61	вопрос в каком	1	1
62	может быть объяснена	1	1
63	для него но	1	1
64	так как эта	1	1
65	на самом деле	4	1
66	что за ним	1	1
67	не значит что	2	1
68	то что в	2	1
69	в настоящее время	3	1
70	которые могут быть	1	1
71	тот момент когда	1	1
72	мы видим таким	1	1
73	один с другим	1	1
74	обстоит дело с	1	1
75	тому что в	1	1
76	после того как	1	1
77	подобно тому как	5	1
78	в том или	1	1
79	в данном случае	1	1
80	точно так же	1	1
81	чем перейти к	1	1
82	в собственном смысле	3	1
83	что эта задача	1	1
84	собственном смысле слова	3	1
85	там где есть	1	1
86	в тот момент	1	1
87	что он может	1	1
88	на вопрос что	1	1
89	так и здесь	1	1
90	является одним из	1	1
91	которое может быть	2	1
92	но так как	1	1
93	тем не менее	4	1
94	видим таким образом	1	1
95	это не значит	2	1
96	выше представляют собой	1	1
97	один из них	1	1
