N	3gram	Vinokur_Vv_1	Formalny
1	не может быть	8	10
2	в связи с	2	10
3	и т п	5	9
4	с точки зрения	2	7
5	в этом отношении	3	7
6	в самом деле	5	5
7	и в этом	3	5
8	с тем что	3	5
9	то же время	5	5
10	в то же	5	5
11	во всяком случае	3	5
12	языка и его	2	5
13	языка как такового	1	5
14	и т д	37	5
15	вместе с тем	3	4
16	как мы видели	2	4
17	не могут быть	2	4
18	того или иного	1	4
19	на самом деле	1	3
20	быть и речи	1	3
21	в зависимости от	1	3
22	сам по себе	1	3
23	но и в	1	3
24	может быть и	2	3
25	в значительной степени	1	3
26	не в том	2	3
27	с другой стороны	5	3
28	связи с этим	1	3
29	для того чтобы	21	3
30	прежде всего в	1	2
31	в этом смысле	10	2
32	в этом пункте	1	2
33	как это было	1	2
34	в отличие от	3	2
35	и в дальнейшем	1	2
36	что в нем	2	2
37	в применении к	6	2
38	в конце концов	2	2
39	с самого начала	1	2
40	но в этом	1	2
41	при известных условиях	1	2
42	но все же	3	2
43	мы говорим о	1	2
44	и прежде всего	1	2
45	к тому что	1	2
46	в предисловии к	1	2
47	в том что	12	2
48	в этом понятии	1	2
49	и не в	1	2
50	как мы знаем	1	2
51	и в конце	1	1
52	был и другой	1	1
53	что иное как	4	1
54	должна быть положена	1	1
55	не могли не	1	1
56	что же касается	2	1
57	не могло не	1	1
58	чтобы можно было	2	1
59	теми или иными	1	1
60	не говоря уже	2	1
61	и в особенности	4	1
62	в настоящее время	1	1
63	в какой они	1	1
64	что не следует	1	1
65	влечет за собой	2	1
66	в этом случае	6	1
67	именно из его	1	1
68	этого понятия в	2	1
69	самом широком и	1	1
70	языка и литературы	2	1
71	с одной стороны	4	1
72	только в том	2	1
73	до сих пор	5	1
74	говоря уже о	1	1
75	же время в	1	1
76	прежде всего то	1	1
77	можно говорить о	1	1
78	из того что	1	1
79	в собственном смысле	2	1
80	и даже просто	1	1
81	не сам по	1	1
82	в той мере	4	1
83	том или ином	1	1
84	на этот вопрос	3	1
85	самого по себе	1	1
86	бы сказать что	1	1
87	каждое из этих	1	1
88	по крайней мере	4	1
89	то или иное	1	1
90	именно в этом	3	1
91	а если и	1	1
92	содержания но и	1	1
93	это может быть	1	1
94	если же мы	1	1
95	в том или	1	1
96	т е в	4	1
97	в особенности в	1	1
98	на почве их	1	1
99	в данном случае	4	1
100	чтобы говорить о	1	1
101	в том чтобы	5	1
102	содержанию и форме	1	1
103	тем что не	2	1
104	но в то	3	1
105	на задний план	1	1
106	смысле этого слова	2	1
107	сообщение о том	1	1
108	как один из	1	1
109	в том как	1	1
110	же это не	1	1
111	так или иначе	4	1
112	в большей или	1	1
113	или меньшей степени	1	1
114	здесь все время	1	1
115	на твердую почву	1	1
116	бы то ни	1	1
117	отношение к действительности	1	1
118	о языке как	1	1
119	лишь в том	1	1
120	то о чем	1	1
121	науки о языке	1	1
122	мере в какой	4	1
123	тем что в	1	1
124	всю обширную область	1	1
125	в широком смысле	7	1
126	русского языка и	1	1
127	только то что	1	1
128	есть не что	2	1
129	что уже создано	1	1
130	т е все	1	1
131	в общих чертах	1	1
132	и как будет	1	1
133	к действительности а	1	1
134	литературного языка будет	1	1
135	уже потому что	1	1
136	имеем в виду	1	1
137	должен был быть	1	1
138	большей или меньшей	2	1
139	здесь не может	1	1
140	его отношение к	1	1
141	в свою очередь	1	1
142	собственном смысле этого	1	1
143	и без того	1	1
144	т е то	1	1
145	и именно как	1	1
146	он был в	1	1
147	мы имеем в	1	1
148	в самом широком	1	1
149	т е каким	1	1
150	по этому поводу	2	1
151	этом смысле и	1	1
152	было бы сказать	1	1
153	не что иное	4	1
154	сама по себе	3	1
155	тем не менее	8	1
156	той мере в	4	1
