N	4gram	Savitsky_E_1	slovoVRo
1	в то же время	14	12
2	той или иной степени	1	9
3	в той или иной	3	9
4	и в то же	8	5
5	но в то же	2	4
6	в большей или меньшей	1	3
7	большей или меньшей степени	1	3
8	в то время как	1	2
9	на то или иное	1	1
10	бы то ни было	4	1
11	дело в том что	1	1
12	именно к тому что	1	1
13	и прежде всего в	1	1
14	в начале xx века	1	1
15	сводится именно к тому	1	1
16	то же время в	1	1
17	рассматривать с точки зрения	1	1
18	с этой точки зрения	5	1
19	в отношении к действительному	1	1
20	и в отношении к	1	1
21	и с точки зрения	1	1
