N	2gram	Savitsky_P_1	Vladivir
1	и в	14	31
2	не только	17	24
3	но и	6	19
4	то что	4	18
5	и не	12	17
6	и с	2	14
7	что в	4	14
8	в этом	10	14
9	он был	1	14
10	том что	4	14
11	в его	2	12
12	но в	9	12
13	потому что	3	11
14	в том	9	11
15	между прочим	2	11
16	с его	1	11
17	и то	1	10
18	также и	1	10
19	а в	4	9
20	н н	3	9
21	никогда не	1	9
22	только в	7	9
23	в то	7	8
24	и по	1	8
25	м и	2	7
26	в эти	1	7
27	как раз	2	7
28	и и	2	7
29	соловьева и	1	7
30	уже в	1	7
31	не может	4	6
32	в котором	4	6
33	то же	9	6
34	и к	4	6
35	в качестве	9	6
36	и потому	4	6
37	иной раз	1	6
38	и что	1	6
39	может быть	5	6
40	на то	1	5
41	не было	2	5
42	не в	5	5
43	не очень	1	5
44	но как	1	5
45	и если	4	5
46	а с	1	5
47	что и	1	5
48	а также	4	5
49	все это	2	5
50	главным образом	2	4
51	в себе	3	4
52	для нас	2	4
53	же время	7	4
54	мы и	1	4
55	в этой	1	4
56	в нем	3	4
57	и теперь	1	4
58	соловьев и	1	4
59	этом смысле	1	4
60	хотя и	3	4
61	мысли и	1	4
62	можно судить	1	4
63	что его	1	4
64	а м	1	4
65	да и	2	4
66	в истории	1	4
67	в которой	1	4
68	в россии	3	4
69	себя в	1	4
70	и особенно	1	4
71	никак не	2	4
72	как и	1	4
73	и как	3	4
74	еще в	1	4
75	в своем	4	4
76	все же	1	3
77	и вот	2	3
78	в виде	2	3
79	в жизни	2	3
80	и здесь	1	3
81	но не	3	3
82	вместе с	1	3
83	в начале	2	3
84	и притом	1	3
85	и очень	1	3
86	у с	1	3
87	и всегда	1	3
88	и через	1	3
89	тот же	3	3
90	в отношении	10	3
91	но на	1	3
92	славянофилов и	1	3
93	или менее	1	3
94	более или	1	3
95	другой стороны	1	3
96	только к	1	3
97	и на	1	3
98	н и	8	3
99	с другой	5	3
100	в общем	2	3
101	д н	2	3
102	на себя	1	3
103	только на	1	3
104	отнюдь не	2	3
105	философской мысли	1	3
106	россии и	4	2
107	нисколько не	1	2
108	еще не	1	2
109	во всяком	1	2
110	наука и	1	2
111	место в	1	2
112	от нее	1	2
113	о котором	1	2
114	и который	1	2
115	т д	1	2
116	как на	2	2
117	для тех	2	2
118	не менее	2	2
119	точки зрения	3	2
120	где он	1	2
121	и м	1	2
122	развития русской	1	2
123	к этой	1	2
124	и это	2	2
125	хотя бы	8	2
126	тем самым	3	2
127	не были	1	2
128	того чтобы	1	2
129	с тем	3	2
130	с и	1	2
131	и я	1	2
132	т и	1	2
133	отношением к	1	2
134	к жизни	1	2
135	того что	2	2
136	и т	3	2
137	только что	1	2
138	и других	2	2
139	в момент	1	2
140	знаем что	1	2
141	он будет	1	2
142	из этих	1	2
143	а н	5	2
144	с которым	1	2
145	были в	1	2
146	и мы	2	2
147	мы должны	4	2
148	и о	5	2
149	для того	3	2
150	и еще	1	2
151	на основании	1	2
152	всяком случае	1	2
153	ясно что	1	2
154	не столько	2	2
155	этой области	1	2
156	что все	1	2
157	со стороны	2	2
158	в философии	1	2
159	с ними	3	2
160	в них	2	2
161	с того	1	2
162	е н	5	2
163	она всегда	1	2
164	в самом	1	2
165	русской истории	1	2
166	в полной	2	2
167	в тот	2	2
168	к а	1	2
169	в результате	1	2
170	более что	1	2
171	как к	1	2
172	кто не	1	2
173	в это	1	2
174	судить по	1	2
175	в которую	2	2
176	тем более	2	2
177	в частности	2	2
178	в каком	1	2
179	веры и	1	2
180	и весьма	2	2
181	этом не	1	2
182	в годы	1	2
183	мы знаем	1	2
184	было бы	6	2
185	не будем	2	2
186	суждений о	2	2
187	что с	1	2
188	из них	2	2
189	что дело	1	2
190	м а	2	2
191	что мы	3	2
192	что по	1	1
193	мысли но	1	1
194	у в	1	1
195	в значительной	2	1
196	отношении к	5	1
197	поэзии и	1	1
198	одно и	1	1
199	и среди	1	1
200	и скоро	1	1
201	на плечи	1	1
202	и критика	1	1
203	сравнении с	3	1
204	по одному	1	1
205	теперь в	2	1
206	до тех	1	1
207	прежде всего	3	1
208	тех кто	4	1
209	же в	4	1
210	склонность к	1	1
211	очень и	1	1
212	в с	4	1
213	не к	2	1
214	для них	2	1
215	е м	1	1
216	поскольку они	1	1
217	к другим	1	1
218	вопрос об	1	1
219	из этой	1	1
220	выступает в	1	1
221	в сравнении	3	1
222	одновременно и	1	1
223	материализма и	2	1
224	россия и	1	1
225	был и	1	1
226	тем больше	1	1
227	настоящее время	1	1
228	и любовью	1	1
229	было в	2	1
230	жить и	1	1
231	и которая	1	1
232	и другие	1	1
233	вся в	1	1
234	и философской	1	1
235	и без	3	1
236	человека с	1	1
237	работы в	1	1
238	любовь и	1	1
239	во всех	2	1
240	только то	1	1
241	ней не	2	1
242	она ни	2	1
243	если он	1	1
244	и метафизики	1	1
245	н с	2	1
246	те же	1	1
247	что уже	1	1
248	одно из	1	1
249	чтобы в	1	1
250	везде и	1	1
251	сводится к	3	1
252	история и	1	1
253	представляет собой	1	1
254	к и	3	1
255	и только	1	1
256	которого в	1	1
257	и слова	1	1
258	и часть	1	1
259	например с	1	1
260	есть не	2	1
261	в положительном	1	1
262	она есть	3	1
263	во всей	2	1
264	отношения к	2	1
265	важнее всего	1	1
266	в формах	1	1
267	особенно в	1	1
268	представляют собою	1	1
269	том виде	1	1
270	религиозные и	1	1
271	это не	3	1
272	и веры	1	1
273	относиться к	1	1
274	не с	1	1
275	по всему	1	1
276	повлияли на	1	1
277	в последние	2	1
278	в этих	1	1
279	и мир	1	1
