N	3gram	Savitsky_E_1	Vladivir
1	в том что	6	9
2	в связи с	1	8
3	во всяком случае	3	6
4	в то время	1	6
5	что же касается	1	5
6	как это мы	1	4
7	дело в том	1	3
8	более или менее	1	3
9	с точки зрения	16	3
10	в отличие от	1	3
11	в то же	15	3
12	на этот раз	1	3
13	то же время	14	3
14	хотя и не	1	2
15	сказать что в	2	2
16	между прочим и	2	2
17	не говоря уже	2	2
18	на то что	2	2
19	в том же	1	2
20	нам кажется что	2	2
21	можно было бы	3	2
22	говоря уже о	1	2
23	в данном случае	2	2
24	не только в	4	2
25	в последнее время	1	2
26	в свою очередь	2	2
27	само по себе	4	2
28	заключается в том	2	2
29	во второй половине	2	2
30	как мы видели	2	2
31	не может не	1	1
32	что в этом	1	1
33	в своем противопоставлении	1	1
34	чуть ли не	1	1
35	и в частности	2	1
36	также и в	1	1
37	а также от	1	1
38	в том числе	1	1
39	то как нам	1	1
40	то что с	1	1
41	можно утверждать что	1	1
42	и в то	8	1
43	а также в	1	1
44	бы то ни	4	1
45	в этом отношении	3	1
46	то что в	2	1
47	кроме того что	1	1
48	на этот вопрос	1	1
49	почти никогда не	1	1
50	и не в	1	1
51	может быть и	1	1
52	в течение этого	1	1
53	и в своем	1	1
54	но в то	2	1
55	а также и	1	1
56	что начиная с	1	1
57	ни на минуту	1	1
58	то время как	1	1
59	этого следует что	1	1
60	то его можно	1	1
61	но как бы	1	1
62	не может быть	2	1
63	по себе не	2	1
64	насколько можно судить	1	1
65	мы находим у	1	1
66	и притом в	2	1
67	последнее время в	1	1
68	связи с этим	1	1
69	это значит что	1	1
70	и прежде всего	3	1
71	в каком они	1	1
72	можно сказать что	3	1
73	только тогда когда	1	1
74	в этом смысле	3	1
75	в последние годы	3	1
76	для нас в	1	1
77	и всего мира	1	1
78	во многих случаях	1	1
79	которые можно было	1	1
80	в этот период	1	1
81	или вовсе не	1	1
82	для того чтобы	5	1
83	в себе в	1	1
84	а именно в	1	1
85	к тому же	1	1
86	и т д	1	1
