N	3gram	Voloshinov_1	Poddanst
1	в то же	9	7
2	то же время	7	7
3	гораздо большей степени	1	4
4	в гораздо большей	1	4
5	не только в	3	4
6	в том что	1	4
7	с точки зрения	5	3
8	нужно помнить что	1	2
9	и не только	2	2
10	и в то	2	2
11	но и в	3	2
12	заключает в себе	4	2
13	а с тем	2	1
14	чуть ли не	2	1
15	что это значит?	1	1
16	более или менее	1	1
17	или хотя бы	2	1
18	и в этом	1	1
19	и не может	1	1
20	тот или иной	1	1
21	хотя бы и	1	1
22	не было бы	2	1
23	в определенный момент	1	1
24	в собственном смысле	1	1
25	прежде всего мы	1	1
26	вместе с тем	2	1
27	она должна была	1	1
28	мы все же	1	1
29	по сравнению с	1	1
30	между тем в	1	1
31	обстановки и без	1	1
32	формы в которых	1	1
33	но возможно также	1	1
34	с другой стороны	1	1
35	общения человека с	1	1
36	не может быть	2	1
37	были бы непонятны	1	1
38	экономических и политических	1	1
39	само по себе	1	1
40	та или иная	1	1
41	ни к чему	2	1
42	и тем самым	3	1
43	и тем более	1	1
44	но в то	2	1
45	именно потому что	1	1
46	в большинстве случаев	1	1
47	большинстве случаев только	1	1
48	для того чтобы	7	1
49	на наш взгляд	1	1
50	быть может и	1	1
